rank,name,country,region,hospital_type,total_score,percentile,certification_count
109,Birsa Munda Government Medical College; Shahdol,India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.89,1
110,BMRC Hospitals Ltd.; North 24 Parganas,India,Asia-Pacific,General Hospital,33.39999999999999,98.88,1
111,Brahm Shakti Sanjivani Super Speciality Hospital; Jhajjar,India,Asia-Pacific,General Hospital,33.39999999999999,98.86,1
112,Brij Lal Hospital & Research Centre Pvt. Ltd.; Haldwani (Nanital),India,Asia-Pacific,General Hospital,33.39999999999999,98.85,1
113,Cancer Institute (WIA),India,Asia-Pacific,Cancer Specialty,33.39999999999999,98.84,1
114,Care and Cure Multispeciality Hospital (Unit of NK Remedies Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.83,1
115,Care Hospital (A Unit of Quality Care India Ltd.) - (Earlier Certificate issued in the name of CARE Hospital),India,Asia-Pacific,General Hospital,33.39999999999999,98.82,1
116,Care Hospitals (A Unit of Quality Care India Limited); Hi-Tech City; Gachibowli,India,Asia-Pacific,General Hospital,33.39999999999999,98.81,1
117,Care Hospitals (Quality Care India Limited),India,Asia-Pacific,General Hospital,33.39999999999999,98.80,1
118,Care Hospitals - Malakpet (A Unit of Quality Care India Limited),India,Asia-Pacific,General Hospital,33.39999999999999,98.79,1
119,CARE Hospitals; Khordha,India,Asia-Pacific,General Hospital,33.39999999999999,98.78,1
120,Care Institute of Medical Sciences (CIMS),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.77,1
121,CareBest Superspeciality Hospital,India,Asia-Pacific,General Hospital,33.39999999999999,98.76,1
122,CC Shroff Memorial Hospital (A Unit of Nandini Ramesh Gandhi Public Charitable Trust),India,Asia-Pacific,General Hospital,33.39999999999999,98.75,1
123,Choithram Hospital and Research Centre;,India,Asia-Pacific,General Hospital,33.39999999999999,98.74,1
124,Christian Medical College; Ranipet Campus,India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.73,1
125,CIMAR The Women’s Hospital (Unit of Edappal Hospitals Pvt. Ltd.),India,Asia-Pacific,Women & Child Specialty,33.39999999999999,98.72,1
126,Citi Neuro Centre; Banjara Hills,India,Asia-Pacific,Neurological Specialty,33.39999999999999,98.71,1
127,CKS Hospital (A Unit of CKS Medicare Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.70,1
128,Clearmedi Radiant Hospital; Mysore,India,Asia-Pacific,General Hospital,33.39999999999999,98.69,1
129,COSH (Christudas Orthopaedic Speciality Hospital),India,Asia-Pacific,Orthopedic Specialty,33.39999999999999,98.68,1
130,Dayanand Medical College & Hospital; Tagore Nagar,India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.67,1
131,Deepak Hospital; Sarabha Nagar,India,Asia-Pacific,General Hospital,33.39999999999999,98.66,1
132,Desun Hospital & Heart Institute (A Unit of P. N. Memorial Neurocentre & Research Institute Ltd.),India,Asia-Pacific,Cardiac Specialty,33.39999999999999,98.65,1
133,Dhanalakshmi Hospital Pvt. Ltd; Kannur; Kerala,India,Asia-Pacific,General Hospital,33.39999999999999,98.64,1
134,Divine Heart & Multispecialty Hospital (A Unit of Divine Heart Hospital & Research Centre Pvt. Ltd.),India,Asia-Pacific,Cardiac Specialty,33.39999999999999,98.63,1
135,Dr Rela Institute & Medical Centre (A Unit Of JR Super Speciality Hospitals Pvt. Ltd),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.62,1
136,Dr S S Tantia Medical College Hospital and Research Centre (Jansewa Hospital),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.61,1
137,Dr. KNS Memorial Hospital Pvt. Ltd. (Earlier Certificate issued in the name of Mayo Medical Centre Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.60,1
138,Dr. KNS Memorial Institute of Medical Sciences - (Earlier Certificate issued in the Name of Mayo Institute of Medical Sciences),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.59,1
139,Dr. Manjeet Institute of Critical Care;,India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.58,1
140,Epitome Kidney Urology Institute & Lions Hospital (A Unit of Intregrated Kidney Solution Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.57,1
141,Ernakulum Medical Centre (P) Ltd.,India,Asia-Pacific,General Hospital,33.39999999999999,98.56,1
142,Eternal Hospital (A Unit of Eternal Care Foundation),India,Asia-Pacific,General Hospital,33.39999999999999,98.55,1
143,Felix Hospital; Sector-137; Noida Extension,India,Asia-Pacific,General Hospital,33.39999999999999,98.53,1
144,Fernandez Hospital; Bogulkunta,India,Asia-Pacific,General Hospital,33.39999999999999,98.52,1
145,FIMS Hospital (Frank Institute of Medical Sciences),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.51,1
146,Flores Hospital (A Unit of Mridula Healthcare Pvt. Ltd.) - (Earlier Certificate issued in the Name of Flores Hospital),India,Asia-Pacific,General Hospital,33.39999999999999,98.50,1
147,Fortis Health Management Ltd.;Nagarabhavi,India,Asia-Pacific,General Hospital,33.39999999999999,98.49,1
148,Fortis Healthcare Limited; Mulund - (Earlier Certificate issued in the name of Fortis Hospitals Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.48,1
149,Fortis Hospital; Bannerghatta Road,India,Asia-Pacific,General Hospital,33.39999999999999,98.47,1
150,Fortis Hospital; Shalimar Bagh,India,Asia-Pacific,General Hospital,33.39999999999999,98.46,1
151,Fortis Hospitals Limited; Neelam Bata Road; NIT,India,Asia-Pacific,General Hospital,33.39999999999999,98.45,1
152,Fortis Hospitals Ltd.; Cunningham,India,Asia-Pacific,General Hospital,33.39999999999999,98.44,1
153,Ganga Care Hospital Ltd. (Care Hospital),India,Asia-Pacific,General Hospital,33.39999999999999,98.43,1
154,GCS Medical College; Hospital & Research Centre,India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.42,1
155,Gitam Institute of Medical Sciences & Research (Deemed To Be University),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.41,1
156,Gleneagles Aware Hospital (A Unit of Gleneagles Healthcare India Pvt. Ltd.) - (Earlier Certificate issued in the Name of Aware Global Hospitals),India,Asia-Pacific,General Hospital,33.39999999999999,98.40,1
157,Gleneagles BGS Hospital (A Unit of Gleneagles Healthcare India Private Limited) - (Earlier Certificate issued in the name of BGS Gleneagles Global Hospital),India,Asia-Pacific,General Hospital,33.39999999999999,98.39,1
158,Gleneagles HealthCity Chennai (A Unit of Gleneagles Healthcare India Private Limited) - (Earlier Certificate issued in the Name of Gleneagles Global Hospitals and Health City),India,Asia-Pacific,General Hospital,33.39999999999999,98.38,1
159,Gleneagles Hospital - Lakdikapul (A Unit of Gleneagles Healthcare India Private Limited),India,Asia-Pacific,General Hospital,33.39999999999999,98.37,1
160,GMR Varalakshmi Care Hospital; Srikakulam,India,Asia-Pacific,General Hospital,33.39999999999999,98.36,1
161,Golden Heart Hospital (A Unit of Mediflex Hospital Associates LLP),India,Asia-Pacific,Cardiac Specialty,33.39999999999999,98.35,1
162,Government (CL & SC) Spine Institute and Physiotherapy College,India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.34,1
163,Goyal Hospital & Urology Centre; Krishna Nagar,India,Asia-Pacific,General Hospital,33.39999999999999,98.33,1
164,Grecian Super Specialty Hospital (A Unit of RGS Healthcare Ltd.),India,Asia-Pacific,Multi Specialty,33.39999999999999,98.32,1
165,Gujarat Adani Institute Of Medical Sciences (G.K.General Hospital),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.31,1
166,HCG Aastha Cancer Centre (A Unit of HCG Medi-Surge Hospitals Pvt. Ltd.),India,Asia-Pacific,Cancer Specialty,33.39999999999999,98.30,1
167,HCG Curie City Cancer Centre; Vijaywada,India,Asia-Pacific,Cancer Specialty,33.39999999999999,98.29,1
168,HCG Hospitals ( A Unit of Healthcare Global Enterprises Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.28,1
169,HCG NCHRI Cancer Centre (A unit of HCG NCHRI Oncology LLP),India,Asia-Pacific,Cancer Specialty,33.39999999999999,98.27,1
170,HCG Pinnacle Cancer Centre (A Unit of HCG Pinnacle Oncology Pvt Ltd.),India,Asia-Pacific,Cancer Specialty,33.39999999999999,98.26,1
171,Healing Touch Super Specialty Hospital (A Unit of Blue Heavens Health Care Pvt. Ltd.),India,Asia-Pacific,Multi Specialty,33.39999999999999,98.25,1
172,Healing Tree Hospital (A Unit Of Manjusha Healthcare Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.24,1
173,Heritage Healthcare Private Limited - (Earlier Certificate issued in the Name of Heritage Hospital),India,Asia-Pacific,General Hospital,33.39999999999999,98.23,1
174,Himalayan Hospital ( A Constituent unit of Swami Rama Himalayan University),India,Asia-Pacific,General Hospital,33.39999999999999,98.21,1
175,Hiranandani Hospital (A fortis associate hospital),India,Asia-Pacific,General Hospital,33.39999999999999,98.20,1
176,Holy Family Hospital; New Delhi,India,Asia-Pacific,General Hospital,33.39999999999999,98.19,1
177,Hope Hospital (Unit of Al Hope Hospital Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.18,1
178,IBM Hospital and Trauma Centre (A Unit of Gaurav Hospital Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.17,1
179,Imbichibava Memorial Co-Operative Hospitaland Research Centre Society Ltd. No.M-841; Alathiyur Post; Tirur Malappuram,India,Asia-Pacific,General Hospital,33.39999999999999,98.16,1
180,Indiana Hospital & Heart Institute Pvt Ltd.;,India,Asia-Pacific,Cardiac Specialty,33.39999999999999,98.15,1
181,Indus Hospitals (A Unit of Vasugan Medical Specialities Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,98.14,1
182,Indus Jaipur Hospital (A Unit Sharma Memorial Hospital & Research Institute),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.13,1
183,Inodaya Hospitals( A Unit of Godavarthy Narasimha Murthy Health Care Pvt.Ltd),India,Asia-Pacific,General Hospital,33.39999999999999,98.12,1
184,Jain Social Federation’s Anandrishiji Hospital and Medical Research Centre - (Earlier Certificate issued in the Name of Jain Social Federations Anandrishiji Hospital & Cardiac Surgery Centre),India,Asia-Pacific,Cardiac Specialty,33.39999999999999,98.11,1
185,Jaipur National University Institute for Medical Sciences and Research Centre (JNUIMSRC),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.10,1
186,Jan Hospital Pali (A Unit of Level 5 Health LLP),India,Asia-Pacific,General Hospital,33.39999999999999,98.09,1
187,Jeewan Nursing Home & Hospital; Pusa Road,India,Asia-Pacific,General Hospital,33.39999999999999,98.08,1
188,Jiet Medical College and Hospital (A Unit of Arun Shanti Education Trust),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.07,1
189,Kailashi Super Speciality Hospital;Meerut,India,Asia-Pacific,General Hospital,33.39999999999999,98.06,1
190,Kauvery Hospital (A Unit of Sri Kauvery Medical Care (India) Limited),India,Asia-Pacific,General Hospital,33.39999999999999,98.05,1
191,Kauvery Hospital - Heartcity (A Unit of Sri Kauvery Medical Care (India) Limited) - (Previously Known as Kauvery Heartcity - Unit of Sri Kavery Medical Care (Trichy) Limited),India,Asia-Pacific,Cardiac Specialty,33.39999999999999,98.04,1
192,Kauvery Hospital Chennai; Sri Kavery Medical Care Trichy Ltd.; Mylapore,India,Asia-Pacific,General Hospital,33.39999999999999,98.03,1
193,Kauvery Hospitals (Bengaluru) Private Limited,India,Asia-Pacific,General Hospital,33.39999999999999,98.02,1
194,Kerala Institute of Medical Sciences (KIMS),India,Asia-Pacific,Teaching Hospital,33.39999999999999,98.01,1
195,KIMS Hospital Enterprises Pvt. Ltd.; Kondapur,India,Asia-Pacific,General Hospital,33.39999999999999,98.00,1
196,KIMS Hospitals; Gachibowli,India,Asia-Pacific,General Hospital,33.39999999999999,97.99,1
197,KIMS ICON Hospital ( A Unit of ICON Krishi Institute of Medical Sciences Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,33.39999999999999,97.98,1
198,Kims-Kingsway Hospitals (A Unit of SPANV Medisearch Lifesciences Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,97.97,1
199,Kinder Hospitals (A Unit of Kindorama Healthcare Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,97.96,1
200,Kinder Women's Hospital and Fertility Centre (A Unit of Kindorama Healthcare Pvt. Ltd.),India,Asia-Pacific,Women & Child Specialty,33.39999999999999,97.95,1
201,KJMH Lifecare Private Limited - (Earlier Certificate issued in the Name of K J Multispecialty Hospital),India,Asia-Pacific,Multi Specialty,33.39999999999999,97.94,1
202,KMC Hospital (A Unit Of Manipal Health Enterprises Private Limited),India,Asia-Pacific,General Hospital,33.39999999999999,97.93,1
203,Konaseema Institute of Medical Sciences And Research Foundation Hospital; Amalapuram (Under Mother Theressa Educational Society; Amalapuram); Konaseema,India,Asia-Pacific,Teaching Hospital,33.39999999999999,97.92,1
204,KRIMS Hospital (Ketki Research Institute of Medical Science),India,Asia-Pacific,Teaching Hospital,33.39999999999999,97.91,1
205,Krishna Hospital & Medical Research Centre; Karad,India,Asia-Pacific,General Hospital,33.39999999999999,97.89,1
206,Krishna Hospital & Research Centre; Haldwani (Nanital),India,Asia-Pacific,General Hospital,33.39999999999999,97.88,1
207,Krishna Institute of Medical Sciences Ltd.; Prakasam,India,Asia-Pacific,Teaching Hospital,33.39999999999999,97.87,1
208,Kusum Dhirajlal (KD) Hospital,India,Asia-Pacific,General Hospital,33.39999999999999,97.86,1
209,Landmark Hospitals; Kukatpally,India,Asia-Pacific,General Hospital,33.39999999999999,97.85,1
210,Laxmi Narayan Memorial Hospital (A Venture of Fortuna Medicare Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,97.84,1
211,Life Line Hospital & Research Centre; Azamgarh,India,Asia-Pacific,General Hospital,33.39999999999999,97.83,1
212,Lifeline Hospital Medical & Research Centre; Raigad,India,Asia-Pacific,General Hospital,33.39999999999999,97.82,1
213,Lifeline Hospital; Pune,India,Asia-Pacific,General Hospital,33.39999999999999,97.81,1
214,Livasa Hospital; Amritsar (A Unit of Ivy Health and Life Sciences Private Limited) - (Earlier Certificate issued in the name of Ivy Health & Life Sciences Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,97.80,1
215,Livasa Hospital; Hoshiarpur (A Unit of Ivy Healthcare Infrastructure Private Limited) - (Earlier Certificate issued in the name of Ivy Healthcare Infrastructure Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,97.79,1
216,Livasa Hospital; Nawanshahr (A Unit of Ivy Healthcare Infrastructure Private Limited) - (Earlier Certificate issued in the name of IVY Hospital (IVY Healthcare Infrastructure Private Limited),India,Asia-Pacific,General Hospital,33.39999999999999,97.78,1
217,M/s Nehru Memorial Techno Global Hospital (A Unit of Techno India Technologies Limited),India,Asia-Pacific,General Hospital,33.39999999999999,97.77,1
218,M/s Shree Pragati FoundationS-Hira Mongi Navneet Hospital; Mulund West,India,Asia-Pacific,General Hospital,33.39999999999999,97.76,1
219,M/s. DVC Hospital & Research Centre (A Unit of Sri Dhulipala Veeraiah Chowdary Memorial Trust),India,Asia-Pacific,General Hospital,33.39999999999999,97.75,1
220,Maa Kauvery (A Unit of KMC Speciality Hospitals (India) Limited),India,Asia-Pacific,General Hospital,33.39999999999999,97.74,1
221,Maharaja Agrasen Hospital; Dwarka,India,Asia-Pacific,General Hospital,33.39999999999999,97.73,1
222,Malabar Hospitals (Private) Ltd.,India,Asia-Pacific,General Hospital,33.39999999999999,97.72,1
223,Malabar Institute Of Medical Science Limited; Edakkad,India,Asia-Pacific,Teaching Hospital,33.39999999999999,97.71,1
224,Malabar Institute of Medical Sciences Ltd. (Aster MIMS),India,Asia-Pacific,Teaching Hospital,33.39999999999999,97.70,1
225,Mallige Hospital (Mallige Medical Centre Pvt. Ltd.),India,Asia-Pacific,General Hospital,33.39999999999999,97.69,1
