overall_rank,name,country,region,hospital_type,total_score,percentile,certification_score,quality_initiatives_score,patient_feedback_score,certification_count
93,Amaltas Institute of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.8,94.21,16.8,0,0,1
94,Amandeep Hospital,India,Asia-Pacific,General Hospital,16.8,94.14,16.8,0,0,1
95,Amandeep Hospitals Pvt. Ltd. - (Earlier Certificate issued in the Name of Amandeep Hospital),India,Asia-Pacific,General Hospital,16.8,94.08,16.8,0,0,1
96,Amandeep Medicity,India,Asia-Pacific,General Hospital,16.8,94.02,16.8,0,0,1
97,Amar Hospital,India,Asia-Pacific,General Hospital,16.8,93.95,16.8,0,0,1
98,Amar Jain Hospital,India,Asia-Pacific,General Hospital,16.8,93.89,16.8,0,0,1
99,Amar Medical & Research Centre,India,Asia-Pacific,General Hospital,16.8,93.83,16.8,0,0,1
100,Amara Hospital (A Unit of G2 Health Care Private Limited),India,Asia-Pacific,General Hospital,16.8,93.77,16.8,0,0,1
101,Ambay Hospital,India,Asia-Pacific,General Hospital,16.8,93.7,16.8,0,0,1
102,Amcare Hospital,India,Asia-Pacific,General Hospital,16.8,93.64,16.8,0,0,1
103,American Oncology Institute,India,Asia-Pacific,Cancer Specialty,16.8,93.58,16.8,0,0,1
104,American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.),India,Asia-Pacific,Cancer Specialty,16.8,93.51,16.8,0,0,1
105,"AMRI Hospital, Mukundapur",India,Asia-Pacific,General Hospital,16.8,93.45,16.8,0,0,1
106,Amrita Institute of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.8,93.39,16.8,0,0,1
107,Amrita Institute of Medical Sciences and Research Centre,India,Asia-Pacific,Teaching Hospital,16.8,93.32,16.8,0,0,1
108,Amritdhara-My Hospital,India,Asia-Pacific,General Hospital,16.8,93.26,16.8,0,0,1
109,Anand Heart & Multispeciality Hospital (A Unit of Prem Malhotra Heathcare Pvt. Ltd.),India,Asia-Pacific,Cardiac Specialty,16.8,93.2,16.8,0,0,1
110,Anand Hospital (A Unit of Anand Nirogdham Hospital Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.8,93.14,16.8,0,0,1
111,"Anand Orthopaedic Centre, Thanesar",India,Asia-Pacific,Orthopedic Specialty,16.8,93.07,16.8,0,0,1
112,Anand Surgical Hospital Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,93.01,16.8,0,0,1
113,Anant Heart Hospital,India,Asia-Pacific,Cardiac Specialty,16.8,92.95,16.8,0,0,1
114,Anant Nursing Home Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,92.88,16.8,0,0,1
115,Ananta Institute of Medical Sciences & Research Centre,India,Asia-Pacific,Teaching Hospital,16.8,92.82,16.8,0,0,1
116,Ananthapuri Hospitals and Research Institute,India,Asia-Pacific,Teaching Hospital,16.8,92.76,16.8,0,0,1
117,Andhra Hospitals (Bhavanipuram) Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,92.7,16.8,0,0,1
118,"Andhra Hospitals, Suryaraopet",India,Asia-Pacific,General Hospital,16.8,92.63,16.8,0,0,1
119,Andromeda Cancer Hospital (A Unit of Andromeda Hospitals and Healthcare Private Limited),India,Asia-Pacific,Cancer Specialty,16.8,92.57,16.8,0,0,1
120,Ankura Hospital for Women & Children (A Unit of Ankura Hospitals LB Nagar Pvt. Ltd.),India,Asia-Pacific,Women & Child Specialty,16.8,92.51,16.8,0,0,1
121,Annai Arul Hospital,India,Asia-Pacific,General Hospital,16.8,92.44,16.8,0,0,1
122,Anup Institute Of Orthopaedics & Rehabilitation,India,Asia-Pacific,Orthopedic Specialty,16.8,92.38,16.8,0,0,1
123,Apex Heart Institute,India,Asia-Pacific,Cardiac Specialty,16.8,92.32,16.8,0,0,1
124,Apex Hospital,India,Asia-Pacific,General Hospital,16.8,92.25,16.8,0,0,1
125,Apex Hospital Mansarovar,India,Asia-Pacific,General Hospital,16.8,92.19,16.8,0,0,1
126,Apex Hospitals Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,92.13,16.8,0,0,1
127,"Apex Hospitals, Mulund",India,Asia-Pacific,General Hospital,16.8,92.07,16.8,0,0,1
128,Apex Institute of Medical Sciences and Hospital,India,Asia-Pacific,Teaching Hospital,16.8,92.0,16.8,0,0,1
129,Apex Ranthambhore Sevika Hospital,India,Asia-Pacific,General Hospital,16.8,91.94,16.8,0,0,1
130,Apex Skyline Hospital (A Unit of Apex Hospitals Private Limited),India,Asia-Pacific,General Hospital,16.8,91.88,16.8,0,0,1
131,Apex Super Speciality Hospital & IVF Centre ( A Unit of Goyal Institute of Medical Sciences Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,16.8,91.81,16.8,0,0,1
132,Apollo Adlux Hospital (A Unit Of Adlux Medicity & Convention Centre Private Limited),India,Asia-Pacific,General Hospital,16.8,91.75,16.8,0,0,1
133,Apollo BGS Hospitals,India,Asia-Pacific,General Hospital,16.8,91.69,16.8,0,0,1
134,Apollo CVHF Heart Institute (A Unit Of Apollo CVHF Ltd.),India,Asia-Pacific,Cardiac Specialty,16.8,91.62,16.8,0,0,1
135,Apollo DRDO Hospitals,India,Asia-Pacific,General Hospital,16.8,91.56,16.8,0,0,1
136,Apollo Excelcare Hospital (A Unit of Asclepius Hospitals & Health Care Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.8,91.5,16.8,0,0,1
137,Apollo Hospital Rourkela (Managing IPGI and SSH),India,Asia-Pacific,General Hospital,16.8,91.44,16.8,0,0,1
138,Apollo Hospitals Enterprise Limited,India,Asia-Pacific,General Hospital,16.8,91.37,16.8,0,0,1
139,Apollo Hospitals Enterprises Ltd.,India,Asia-Pacific,General Hospital,16.8,91.31,16.8,0,0,1
140,"Apollo Hospitals, Hyderguda",India,Asia-Pacific,General Hospital,16.8,91.25,16.8,0,0,1
141,"Apollo Hospitals, Seshadripuram",India,Asia-Pacific,General Hospital,16.8,91.18,16.8,0,0,1
142,"Apollo Hospitals, Tondiarpet",India,Asia-Pacific,General Hospital,16.8,91.12,16.8,0,0,1
143,Apollo Institute of Medical Sciences and Research Hospital,India,Asia-Pacific,Teaching Hospital,16.8,91.06,16.8,0,0,1
144,"Apollo KH Hospital, Melvisharam",India,Asia-Pacific,General Hospital,16.8,90.99,16.8,0,0,1
145,Apollo Rajshree Hospitals Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,90.93,16.8,0,0,1
146,Apollo Reach Hospital,India,Asia-Pacific,General Hospital,16.8,90.87,16.8,0,0,1
147,Apollo Reach Hospitals,India,Asia-Pacific,General Hospital,16.8,90.81,16.8,0,0,1
148,Apollo Sage Hospital,India,Asia-Pacific,General Hospital,16.8,90.74,16.8,0,0,1
149,Apollo Speciality Hospital,India,Asia-Pacific,General Hospital,16.8,90.68,16.8,0,0,1
150,Apollo Speciality Hospitals,India,Asia-Pacific,General Hospital,16.8,90.62,16.8,0,0,1
151,Apollo Speciality Hospitals(A Unit of Apollo Hospitals Enterprise Limited),India,Asia-Pacific,General Hospital,16.8,90.55,16.8,0,0,1
152,"Apollo Speciality Hospitals, Vanagaram",India,Asia-Pacific,General Hospital,16.8,90.49,16.8,0,0,1
153,Apollo Spectra Hospitals (A Unit of Nano Hospitals Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.8,90.43,16.8,0,0,1
154,Apollomedics Super Speciality Hospitals,India,Asia-Pacific,General Hospital,16.8,90.37,16.8,0,0,1
155,"Apple Maitreya Hospital, Surat",India,Asia-Pacific,General Hospital,16.8,90.3,16.8,0,0,1
156,Apple Saraswati Multi Speciality Hospital,India,Asia-Pacific,General Hospital,16.8,90.24,16.8,0,0,1
157,Aravali Hospital,India,Asia-Pacific,General Hospital,16.8,90.18,16.8,0,0,1
158,Archana Hospitals,India,Asia-Pacific,General Hospital,16.8,90.11,16.8,0,0,1
159,Arihant Hospital,India,Asia-Pacific,General Hospital,16.8,90.05,16.8,0,0,1
160,Arihant Multispeciality Hospital (A Unit of Kusumgar Healthcare Private Limited),India,Asia-Pacific,General Hospital,16.8,89.99,16.8,0,0,1
161,Armaan Hospital,India,Asia-Pacific,General Hospital,16.8,89.92,16.8,0,0,1
162,Arora Neuro Centre,India,Asia-Pacific,Neurological Specialty,16.8,89.86,16.8,0,0,1
163,Arpa Medcity Hospital & Research Institute,India,Asia-Pacific,Teaching Hospital,16.8,89.8,16.8,0,0,1
164,Arpana Hospital (A Unit of Arpana Research and Charities Trust),India,Asia-Pacific,General Hospital,16.8,89.74,16.8,0,0,1
165,Artemis Health Institute (A Unit of Artemis Medicare Services Ltd.),India,Asia-Pacific,Teaching Hospital,16.8,89.67,16.8,0,0,1
166,Aryaa Neuro Spine & Super Speciality Hospital Pvt. Ltd.,India,Asia-Pacific,Neurological Specialty,16.8,89.61,16.8,0,0,1
167,Aryavart Hospital (A Unit of Shreya Medicare Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.8,89.55,16.8,0,0,1
168,Asha Hospital (A Unit of Asha Institute of Medical Sciences & Research Centre Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,16.8,89.48,16.8,0,0,1
169,Asha Kiran- The Criti Care Hospital,India,Asia-Pacific,General Hospital,16.8,89.42,16.8,0,0,1
170,Ashirwad Maternity Home,India,Asia-Pacific,Women & Child Specialty,16.8,89.36,16.8,0,0,1
171,Ashish Hospital,India,Asia-Pacific,General Hospital,16.8,89.29,16.8,0,0,1
172,Ashoka Medicover Hospitals (A Unit Of Sahrudaya Health Care Pvt Ltd.,India,Asia-Pacific,General Hospital,16.8,89.23,16.8,0,0,1
173,Ashutosh Hospital & Trauma Centre,India,Asia-Pacific,General Hospital,16.8,89.17,16.8,0,0,1
174,Ashwini Hospital,India,Asia-Pacific,General Hospital,16.8,89.11,16.8,0,0,1
175,Ashwini Sahakari Rugnalaya ANI Sanshodhan Kendra NIY,India,Asia-Pacific,General Hospital,16.8,89.04,16.8,0,0,1
176,Ashwini Trauma Centre (Unit Of Cuttack Hospitals Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.8,88.98,16.8,0,0,1
177,Asian City Hospital (A Unit of Blue Sapphire Healthcare Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.8,88.92,16.8,0,0,1
178,Asian Heart Institute and Research Centre,India,Asia-Pacific,Cardiac Specialty,16.8,88.85,16.8,0,0,1
179,Asian Institute of Medical Sciences (A Unit of Blue Sapphire Healthcares Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,16.8,88.79,16.8,0,0,1
180,Asian Institute of Medical Sciences (AIMS Hospital),India,Asia-Pacific,Teaching Hospital,16.8,88.73,16.8,0,0,1
181,Asian Institute of Nephrology & Urology,India,Asia-Pacific,Teaching Hospital,16.8,88.66,16.8,0,0,1
182,Asian Noble Hospital Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,88.6,16.8,0,0,1
183,Asian Vascular Hospitals,India,Asia-Pacific,General Hospital,16.8,88.54,16.8,0,0,1
184,Asian Vivekanand Super Specialty Hospital,India,Asia-Pacific,Multi Specialty,16.8,88.48,16.8,0,0,1
185,Aster Aaadhar Hospital,India,Asia-Pacific,General Hospital,16.8,88.41,16.8,0,0,1
186,Aster Hospital,India,Asia-Pacific,General Hospital,16.8,88.35,16.8,0,0,1
187,Aster Medcity,India,Asia-Pacific,General Hospital,16.8,88.29,16.8,0,0,1
188,Aster MIMS Hospital,India,Asia-Pacific,General Hospital,16.8,88.22,16.8,0,0,1
189,Aster Narayanadri Hospital (A Unit of Aster DM Healthcare Limited),India,Asia-Pacific,General Hospital,16.8,88.16,16.8,0,0,1
190,Aster PMF Hospital,India,Asia-Pacific,General Hospital,16.8,88.1,16.8,0,0,1
191,Aster Prime Hospitals,India,Asia-Pacific,General Hospital,16.8,88.04,16.8,0,0,1
192,Aster RV Hospital ( A Unit of Aster DM Healthcare Ltd.),India,Asia-Pacific,General Hospital,16.8,87.97,16.8,0,0,1
193,Atlanta Mediworld Multi Speciality Hospital & Research Centre (A Unit of RRM Services),India,Asia-Pacific,General Hospital,16.8,87.91,16.8,0,0,1
194,Atreya Hospital (A Unit Of DMRI),India,Asia-Pacific,General Hospital,16.8,87.85,16.8,0,0,1
195,Aureus Institute of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.8,87.78,16.8,0,0,1
196,Avanti Institute of Cardiology Pvt. Ltd,India,Asia-Pacific,Cardiac Specialty,16.8,87.72,16.8,0,0,1
197,"Avee Hospital (A Unit of Kastura Medicos Ltd.) - (Earlier Certificate issued in the name of Aarogya Hospital), Vaishali",India,Asia-Pacific,General Hospital,16.8,87.66,16.8,0,0,1
198,Avitis Super Specialty Hospitals Pvt. Ltd.,India,Asia-Pacific,Multi Specialty,16.8,87.59,16.8,0,0,1
199,Avron Hospitals Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.8,87.53,16.8,0,0,1
200,Ayushman Bhav Health Institute,India,Asia-Pacific,Teaching Hospital,16.8,87.47,16.8,0,0,1
201,Ayushman Hospital & Health Services,India,Asia-Pacific,General Hospital,16.8,87.41,16.8,0,0,1
202,B C M Hospital,India,Asia-Pacific,General Hospital,16.8,87.34,16.8,0,0,1
203,B T Savani Kidney Hospital,India,Asia-Pacific,General Hospital,16.8,87.28,16.8,0,0,1
204,B. Lal Hospital & Research Center,India,Asia-Pacific,General Hospital,16.8,87.22,16.8,0,0,1
205,B.A.P.S. Shastriji Maharaj Hospital,India,Asia-Pacific,General Hospital,16.8,87.15,16.8,0,0,1
206,B.M. Birla Heart Research Centre,India,Asia-Pacific,Cardiac Specialty,16.8,87.09,16.8,0,0,1
207,B.P Poddar Hospital & Medical Research Ltd.,India,Asia-Pacific,General Hospital,16.8,87.03,16.8,0,0,1
208,B.R. Shastri Hospital ( A Unit of Aryabhatta Academic Society),India,Asia-Pacific,General Hospital,16.8,86.96,16.8,0,0,1
209,Baby Memorial Hospital,India,Asia-Pacific,General Hospital,16.8,86.9,16.8,0,0,1
210,Baby Memorial Hospital (A Unit of Genesis Institute of Medical Sciences Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,16.8,86.84,16.8,0,0,1
211,Baby Memorial Hospital Ltd. - (Earlier Certificate issued in the Name of Chazhikattu Hospital Private Ltd.),India,Asia-Pacific,General Hospital,16.8,86.78,16.8,0,0,1
212,Baderia Metroprime Multispeciality Hospital,India,Asia-Pacific,General Hospital,16.8,86.71,16.8,0,0,1
213,Bai Jerbai Wadia Hospital for Children,India,Asia-Pacific,General Hospital,16.8,86.65,16.8,0,0,1
214,Bangalore Baptist Hospital,India,Asia-Pacific,General Hospital,16.8,86.59,16.8,0,0,1
215,Bankers Heart Institute,India,Asia-Pacific,Cardiac Specialty,16.8,86.52,16.8,0,0,1
216,Bansal Hospital,India,Asia-Pacific,General Hospital,16.8,86.46,16.8,0,0,1
217,Bansal Hospital (A Unit of Sagarshree Hospital and Research Institute Private Limited) - (Earlier Certificate issued in the name of Sagarshree Hospital & Research Institute Pvt. Ltd.).,India,Asia-Pacific,Teaching Hospital,16.8,86.4,16.8,0,0,1
218,BAPS Pramukh Swami Hospital,India,Asia-Pacific,General Hospital,16.8,86.34,16.8,0,0,1
219,BAPS Yogiji Maharaj Hospital,India,Asia-Pacific,General Hospital,16.8,86.27,16.8,0,0,1
220,Barala Hospital and Research Centre,India,Asia-Pacific,General Hospital,16.8,86.21,16.8,0,0,1
221,Basavatarakam Indo-American Cancer Institute & Research Centre,India,Asia-Pacific,Cancer Specialty,16.8,86.15,16.8,0,0,1
222,Batra Hospital & Medical Research Centre,India,Asia-Pacific,General Hospital,16.8,86.08,16.8,0,0,1
223,"BBR Super Speciality Hospital, Medchal",India,Asia-Pacific,General Hospital,16.8,86.02,16.8,0,0,1
224,Believers Churuch Medical College Hospital,India,Asia-Pacific,Teaching Hospital,16.8,85.96,16.8,0,0,1
225,Belle Vue Clinic,India,Asia-Pacific,General Hospital,16.8,85.89,16.8,0,0,1
226,Bengal Faith Hospital (A Unit of Bengal Faith Healthcare Private Limited),India,Asia-Pacific,General Hospital,16.8,85.83,16.8,0,0,1
227,Best Super Speciality Hospital,India,Asia-Pacific,General Hospital,16.8,85.77,16.8,0,0,1
228,Bethany Hospital,India,Asia-Pacific,General Hospital,16.8,85.71,16.8,0,0,1
229,Bhagirathi Neotia Woman & Child Care Centre,India,Asia-Pacific,General Hospital,16.8,85.64,16.8,0,0,1
230,Bhagwan Das Hospital,India,Asia-Pacific,General Hospital,16.8,85.58,16.8,0,0,1
231,Bhagwan Mahaveer Cancer Hospital & Research Centre,India,Asia-Pacific,Cancer Specialty,16.8,85.52,16.8,0,0,1
232,Bhagwan Mahaveer Jain Hospital,India,Asia-Pacific,General Hospital,16.8,85.45,16.8,0,0,1
233,Bhagwan Mahavir Medica Superpecialty Hospital,India,Asia-Pacific,General Hospital,16.8,85.39,16.8,0,0,1
234,Bhagwati Hospital,India,Asia-Pacific,General Hospital,16.8,85.33,16.8,0,0,1
235,Bhailal Amin General Hospital,India,Asia-Pacific,General Hospital,16.8,85.26,16.8,0,0,1
236,Bhaktivedanta Hospital and Research Institute,India,Asia-Pacific,Teaching Hospital,16.8,85.2,16.8,0,0,1
237,Bhale Ram Multispeciality Hospital,India,Asia-Pacific,General Hospital,16.8,85.14,16.8,0,0,1
238,Bhandari Hospital & Research Centre,India,Asia-Pacific,General Hospital,16.8,85.08,16.8,0,0,1
239,Bharat Multispeciality Hospital,India,Asia-Pacific,General Hospital,16.8,85.01,16.8,0,0,1
