id,name,country,city,sources,source_count,certifications_count,certification_names,has_jci,jci_accreditation_date,jci_expiry_date,total_score,certification_score,quality_initiatives_score,patient_feedback_score,website,last_updated
,Max Super Speciality Hospital ( A Unit of Devki Devi Foundation),India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Moolchand Hospital,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Narayana Institute of Cardiac Sciences (Unit of Narayana Hrudayalaya Ltd.),India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Dr L H Hiranandani Hospital,India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Fortis Hospital,India,Noida,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); Joint Commission International (JCI),yes,2018-12-15,,,,,,,2025-09-22T12:41:05.733547
,Sagar Hospitals,India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Manipal Hospitals Private Limited,India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Manipal Hospital,India,Bangalore,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); Joint Commission International (JCI),yes,2018-07-30,,,,,,,2025-09-22T12:41:05.733547
,Nethradhama Superspeciality Eye Hospital,India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Lakeshore Hospital & Research Centre Ltd.,India,Kochi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Baby Memorial Hospital,India,Calicut,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Escorts Heart Institute & Research Centre,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Sir Ganga Ram Hospital,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Escorts Fortis Hospital,India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,MGM SevenHills Hospital (A Unit of MGM Health Care Pvt. Ltd.) - (Earlier Certificate issued in the Name of SevenHills Healthcare Private Limited),India,Visakhapatnam,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Dharamshila Narayana Superspeciality Hospital,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Chacha Nehru Bal Chikitsalaya,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Kailash Hospital & Research Centre Ltd.,India,Noida,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,G. Kuppuswami Naidu Memorial Hospital,India,Coimbatore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Sterling Hospitals,India,Ahmedabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Amrita Institute of Medical Sciences,India,Kochi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Apollo Speciality Hospitals,India,Madurai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Paras Hospitals,India,Gurgaon,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Wockhardt Hospitals Ltd.,India,Nagpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,P D Hinduja National Hospital & Research Centre,India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,N.M. Virani Wockhardt Hospital,India,Rajkot,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Godrej Memorial Hospital,India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Fortis Flt. Lt. Rajan Dhall Hospital,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Kasturba Hospital,India,Manipal,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,General Hospital,India,Gandhinagar,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); Joint Commission International (JCI),yes,,,,,,,,2025-09-22T12:41:05.733547
,"Fortis Hospitals Limited, Neelam Bata Road, NIT",India,Faridabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Ruby Hall Clinic,India,Pune,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:35.587621
,Artemis Health Institute (A Unit of Artemis Medicare Services Ltd.),India,Gurgaon,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Sparsh Hospital for Accidents Orthopedics, Plastic & Maxillo Facial Surgery",India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Apollo Speciality Hospital,India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Shalby Hospitals,India,Ahmedabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Fortis Hospitals Ltd.,India,Kalyan,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,"Rockland Hospital, Qutub Institutional Area",India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,K.G. Hospital,India,Coimbatore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Holy Spirit Hospital,India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Batra Hospital & Medical Research Centre,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,PSG Hospitals,India,Coimbatore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Frontier Lifeline Hospital,India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Dr B.L. Kapur Memorial Hospital,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Gleneagles HealthCity Chennai (A Unit of Gleneagles Healthcare India Private Limited) - (Earlier Certificate issued in the Name of Gleneagles Global Hospitals and Health City),India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Yashoda Super Speciality Hospital, Kaushambi",India,Ghaziabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Jeewan Nursing Home & Hospital, Pusa Road",India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Max Super Specialty Hospital, Vaisali",India,Ghaziabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Yashoda Hospital,India,Secunderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Holy Family Hospital,India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Primus Super Speciality Hospital,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Max Hospital,India,Gurgaon,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); Joint Commission International (JCI),yes,,,,,,,,2025-09-22T12:41:05.733547
,Vijaya Medical & Educational Trust,India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Lilavati Hospital and Research Centre,India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Apollo Hospitals International Limited,India,Gandhinagar,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Max Super Specialty Hospital, Patparganj (Run by Balaji Medical and Diagnostic Research Center)",India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Metro Hospital & Heart Institute, Sec. 11 and 12",India,Noida,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Delhi Heart and Lung Institute,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Mehta Childern’s Hospitals Pvt. Ltd.,India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Metro Hospital & Cancer Institute, Preet Vihar",India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,District Govt. Head Quarters Hospital,India,Namakkal,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Rainbow Children's Medicare Pvt. Ltd.,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Star Hospitals,India,Hyderabad,NABH Entry Level Portal,1,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,2025-09-27T14:35:38.234890
,Fortis Escorts Hospital,India,Amritsar,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,V.G.M. Hospital,India,Coimbatore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,L.V. Prasad Eye Institute,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Fortis Health Management Ltd.,Nagarabhavi",India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Indraprastha Medical Corporation Ltd.,India,Noida,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Aster MIMS Hospital,India,Kottakkal,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Mazumdar Shaw Medical Centre (Unit of Narayana Hrudayalaya Pvt. Ltd.),India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Yashoda Healthcare Services Limited, Malakpet - (Earlier Certificate issued in the Name of Yashoda Super Speciality Hospitall)",India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Sarvodaya Hospital & Research Centre,India,Faridabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Asian Institute of Medical Sciences (A Unit of Blue Sapphire Healthcares Pvt. Ltd.),India,Faridabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Dr. Balabhai Nanavati Hospital,India,Mumbai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Desun Hospital & Heart Institute (A Unit of P. N. Memorial Neurocentre & Research Institute Ltd.),India,Kolkata,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Jeewan Mala Hospital Pvt. Ltd.,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Mallya Hospital,India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Ganga Care Hospital Ltd. (Care Hospital),India,Nagpur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Bangalore Baptist Hospital,India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Krishna Institute of Medical Sciences Ltd.,India,Secunderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Park Hospital,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Care Hospital (A Unit of Quality Care India Ltd.) - (Earlier Certificate issued in the name of CARE Hospital),India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,National Heart Institute,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Baroda Heart Institute & Research Centre,India,Vadodara,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Sahyadri Super Speciality Hospital,India,Pune,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Bankers Heart Institute,India,Vadodara,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Rabindranath Tagore International Institute of Cardiac Sciences (Unit of Narayana Hrudayalaya Ltd.),India,Kolkata,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Sri Balaji Action Medical Institute,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Medical Trust Hospital,India,Kochi,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); National Accreditation Board for Hospitals & Healthcare Providers (NABH) - Entry Level,no,,,,,,,,
,Vikram Hospital Private Ltd.,India,Mysore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,CARE Hospital,India,Surat,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); Joint Commission International (JCI),yes,2018-10-15,,,,,,,2025-09-22T12:41:05.733547
,Apollo Hospitals,India,Secunderabad,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); Joint Commission International (JCI),yes,,,,,,,,2025-09-22T12:41:05.733547
,"Metro Hospital & Heart Institute, Lajpat Nagar",India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,RLKC Hospital- Metro Heart Institute,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Care Hospitals (Quality Care India Limited),India,Visakhapatnam,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Hospital for Mental Health,India,Vadodara,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Jupiter Hospital,India,Thane,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Government. Hospital,India,Sholingur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Sun Medical & Research Centre,India,Trichur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Nidhi Hospital,India,Ahmedabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Livasa Hospital (A Unit of Ivy Health and Life Sciences Private Limited) (Earlier Certificate issued in the name of Ivy Hospital Mohali (A Unit of Ivy Health & Life Sciences Pvt. Ltd.),India,Mohali,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Metro Hospital & Heart Institute,India,Meerut,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Institute of liver & Biliary Sciences, Vasant Kunj",India,New Delhi,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); Joint Commission International (JCI),yes,2018-11-10,,,,,,,2025-09-22T12:41:05.733547
,Indian Spinal Injuries Centre,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Institute of Human Behaviour & Allied Sciences (IHBAS),India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Medical Research Foundation - Sankara Nethralaya,India,Chennai,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Narayana Nethralaya (NN1),India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Apex Hospitals Pvt. Ltd.,India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Kamineni Hospitals Pvt Ltd,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Max Smart Super Speciality Hospital,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Omega Hospital,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,"Fortis Hospital, Bannerghatta Road",India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Healthcare Global Enterprises Ltd,India,Bangalore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Khandelwal Hospital & Urology Centre,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Aster Prime Hospitals,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Guru Nanak Care Hospital,India,Hyderabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,GEM Hospital & Research Centre Private Ltd.,India,Coimbatore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Bhandari Hospital & Research Centre,India,Jaipur,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Kovai Medical Centre and Hospitals,India,Coimbatore,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Rajiv Gandhi Cancer Institute & Research Centre,India,New Delhi,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,"Yashoda Super Speciality Hospital, Nehru Nagar",India,Ghaziabad,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
