rank,name,country,region,hospital_type,total_score,percentile,certification_count
44,Mediclinic City Hospital,UAE,Middle East,Private Hospital,43.0,97.29,1
45,Memorial Healthcare Group,Turkey,Europe,Hospital Network,43.0,97.23,1
46,Mount Elizabeth Hospital,Singapore,Asia-Pacific,Private Hospital,43.0,97.17,1
47,National University Hospital Singapore,Singapore,Asia-Pacific,Academic Medical Center,43.0,97.10,1
48,Pantai Hospital Kuala Lumpur,Malaysia,Asia-Pacific,Private Hospital,43.0,97.04,1
49,Prince Court Medical Centre,Malaysia,Asia-Pacific,Private Hospital,43.0,96.98,1
50,Raffles Hospital,Singapore,Asia-Pacific,Private Hospital,43.0,96.91,1
51,Samitivej Hospital,Thailand,Asia-Pacific,Private Hospital,43.0,96.85,1
52,Samsung Medical Center,South Korea,Asia-Pacific,Academic Medical Center,43.0,96.79,1
53,Seoul National University Hospital,South Korea,Asia-Pacific,Academic Medical Center,43.0,96.73,1
54,Sidra Medicine,Qatar,Middle East,Women and Children Hospital,43.0,96.66,1
55,Singapore General Hospital,Singapore,Asia-Pacific,Academic Medical Center,43.0,96.60,1
56,University Hospital Zurich,Switzerland,Europe,Academic Medical Center,43.0,96.54,1
57,Apple Indore Hospital and Research Center (A Unit of Friends Unity Hospital and Research Centre Private Limited),India,Asia-Pacific,General Hospital,22.0,96.47,1
58,A.J. Hospital & Research Centre;,India,Asia-Pacific,General Hospital,16.800000000000004,96.41,1
59,Aadhar Health Institue (A Unit of VLCOM Healthcare Private Limited),India,Asia-Pacific,General Hospital,16.800000000000004,96.35,1
60,AAIHMS Hospital and Research Centre Limited,India,Asia-Pacific,General Hospital,16.800000000000004,96.28,1
61,Aakash Healthcare Super Speciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,96.22,1
62,Aarbee Institute Of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.800000000000004,96.16,1
63,Aarogyam Superspeciality Hospital and Research Center,India,Asia-Pacific,General Hospital,16.800000000000004,96.10,1
64,Aartham Multi Super Specialty Hospital,India,Asia-Pacific,Multi Specialty,16.800000000000004,96.03,1
65,Aarvy Healthcare,India,Asia-Pacific,General Hospital,16.800000000000004,95.97,1
66,Aashka Hospitals Limited,India,Asia-Pacific,General Hospital,16.800000000000004,95.91,1
67,Aayush Multispeciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,95.84,1
68,Aayush NRI LEPL Health Care Private Limited,India,Asia-Pacific,General Hospital,16.800000000000004,95.78,1
69,Aayush NRI LEPL Healthcare Private Limited,India,Asia-Pacific,General Hospital,16.800000000000004,95.72,1
70,Abrol Medical Centre Super Speciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,95.65,1
71,Accord Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,95.59,1
72,Accord Multispecialty Hospital,India,Asia-Pacific,Multi Specialty,16.800000000000004,95.53,1
73,Accord Superspeciality Hospital (A Unit of SCL Healthcare Private Limited),India,Asia-Pacific,General Hospital,16.800000000000004,95.47,1
74,Acharya Vinoba Bhave Rural Hospital Sawangi Meghe Wardha,India,Asia-Pacific,General Hospital,16.800000000000004,95.40,1
75,ACI Cumballa Hill Multi Specialty Hospital,India,Asia-Pacific,Multi Specialty,16.800000000000004,95.34,1
76,Adamt Kothiya Hospital and Research Centre,India,Asia-Pacific,General Hospital,16.800000000000004,95.28,1
77,Adesh Medical College And Hospital,India,Asia-Pacific,Teaching Hospital,16.800000000000004,95.21,1
78,Aditya Birla Memorial Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,95.15,1
79,Advanced Superspeciality Hospital (A Unit of Advanced Healthcare and Research Private Limited),India,Asia-Pacific,General Hospital,16.800000000000004,95.09,1
80,Advanced Surat Trauma and Orthopaedic Surgery Hospital,India,Asia-Pacific,Orthopedic Specialty,16.800000000000004,95.03,1
81,Advanta Super Speciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,94.96,1
82,Agarwal Nursing Home,India,Asia-Pacific,General Hospital,16.800000000000004,94.90,1
83,Agrawal Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,94.84,1
84,Ahmedabad Institute Of Medical Services (AIMS),India,Asia-Pacific,Teaching Hospital,16.800000000000004,94.77,1
85,AIG Hospitals ( A Unit of Asian Institute Of Gastroenterology Private Limited),India,Asia-Pacific,Teaching Hospital,16.800000000000004,94.71,1
86,Ajanta Hospital & IVF Centre Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,94.65,1
87,Akanksha Hospital- Unit of Sat Kaival Hospital Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,94.58,1
88,Akashdeep Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,94.52,1
89,Alchemist Hospital Limited,India,Asia-Pacific,General Hospital,16.800000000000004,94.46,1
90,All is Well Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,94.40,1
91,Alluri Sitarama Raju Academy of Medical Sciences,India,Asia-Pacific,General Hospital,16.800000000000004,94.33,1
92,Amala Institute of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.800000000000004,94.27,1
93,Amaltas Institute of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.800000000000004,94.21,1
94,Amandeep Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,94.14,1
95,Amandeep Hospitals Pvt. Ltd. - (Earlier Certificate issued in the Name of Amandeep Hospital),India,Asia-Pacific,General Hospital,16.800000000000004,94.08,1
96,Amandeep Medicity,India,Asia-Pacific,General Hospital,16.800000000000004,94.02,1
97,Amar Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,93.95,1
98,Amar Jain Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,93.89,1
99,Amar Medical & Research Centre,India,Asia-Pacific,General Hospital,16.800000000000004,93.83,1
100,Amara Hospital (A Unit of G2 Health Care Private Limited),India,Asia-Pacific,General Hospital,16.800000000000004,93.77,1
101,Ambay Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,93.70,1
102,Amcare Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,93.64,1
103,American Oncology Institute,India,Asia-Pacific,Cancer Specialty,16.800000000000004,93.58,1
104,American Oncology Institute (A Unit Of Cancer Treatment Services Hyderabad Pvt. Ltd.),India,Asia-Pacific,Cancer Specialty,16.800000000000004,93.51,1
105,AMRI Hospital; Mukundapur,India,Asia-Pacific,General Hospital,16.800000000000004,93.45,1
106,Amrita Institute of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.800000000000004,93.39,1
107,Amrita Institute of Medical Sciences and Research Centre,India,Asia-Pacific,Teaching Hospital,16.800000000000004,93.32,1
108,Amritdhara-My Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,93.26,1
109,Anand Heart & Multispeciality Hospital (A Unit of Prem Malhotra Heathcare Pvt. Ltd.),India,Asia-Pacific,Cardiac Specialty,16.800000000000004,93.20,1
110,Anand Hospital (A Unit of Anand Nirogdham Hospital Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.800000000000004,93.14,1
111,Anand Orthopaedic Centre; Thanesar,India,Asia-Pacific,Orthopedic Specialty,16.800000000000004,93.07,1
112,Anand Surgical Hospital Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,93.01,1
113,Anant Heart Hospital,India,Asia-Pacific,Cardiac Specialty,16.800000000000004,92.95,1
114,Anant Nursing Home Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,92.88,1
115,Ananta Institute of Medical Sciences & Research Centre,India,Asia-Pacific,Teaching Hospital,16.800000000000004,92.82,1
116,Ananthapuri Hospitals and Research Institute,India,Asia-Pacific,Teaching Hospital,16.800000000000004,92.76,1
117,Andhra Hospitals (Bhavanipuram) Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,92.70,1
118,Andhra Hospitals; Suryaraopet,India,Asia-Pacific,General Hospital,16.800000000000004,92.63,1
119,Andromeda Cancer Hospital (A Unit of Andromeda Hospitals and Healthcare Private Limited),India,Asia-Pacific,Cancer Specialty,16.800000000000004,92.57,1
120,Ankura Hospital for Women & Children (A Unit of Ankura Hospitals LB Nagar Pvt. Ltd.),India,Asia-Pacific,Women & Child Specialty,16.800000000000004,92.51,1
121,Annai Arul Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,92.44,1
122,Anup Institute Of Orthopaedics & Rehabilitation,India,Asia-Pacific,Orthopedic Specialty,16.800000000000004,92.38,1
123,Apex Heart Institute,India,Asia-Pacific,Cardiac Specialty,16.800000000000004,92.32,1
124,Apex Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,92.25,1
125,Apex Hospital Mansarovar,India,Asia-Pacific,General Hospital,16.800000000000004,92.19,1
126,Apex Hospitals Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,92.13,1
127,Apex Hospitals; Mulund,India,Asia-Pacific,General Hospital,16.800000000000004,92.07,1
128,Apex Institute of Medical Sciences and Hospital,India,Asia-Pacific,Teaching Hospital,16.800000000000004,92.00,1
129,Apex Ranthambhore Sevika Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,91.94,1
130,Apex Skyline Hospital (A Unit of Apex Hospitals Private Limited),India,Asia-Pacific,General Hospital,16.800000000000004,91.88,1
131,Apex Super Speciality Hospital & IVF Centre ( A Unit of Goyal Institute of Medical Sciences Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,16.800000000000004,91.81,1
132,Apollo Adlux Hospital (A Unit Of Adlux Medicity & Convention Centre Private Limited),India,Asia-Pacific,General Hospital,16.800000000000004,91.75,1
133,Apollo BGS Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,91.69,1
134,Apollo CVHF Heart Institute (A Unit Of Apollo CVHF Ltd.),India,Asia-Pacific,Cardiac Specialty,16.800000000000004,91.62,1
135,Apollo DRDO Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,91.56,1
136,Apollo Excelcare Hospital (A Unit of Asclepius Hospitals & Health Care Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.800000000000004,91.50,1
137,Apollo Hospital Rourkela (Managing IPGI and SSH),India,Asia-Pacific,General Hospital,16.800000000000004,91.44,1
138,Apollo Hospitals Enterprise Limited,India,Asia-Pacific,General Hospital,16.800000000000004,91.37,1
139,Apollo Hospitals Enterprises Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,91.31,1
140,Apollo Hospitals; Hyderguda,India,Asia-Pacific,General Hospital,16.800000000000004,91.25,1
141,Apollo Hospitals; Seshadripuram,India,Asia-Pacific,General Hospital,16.800000000000004,91.18,1
142,Apollo Hospitals; Tondiarpet,India,Asia-Pacific,General Hospital,16.800000000000004,91.12,1
143,Apollo Institute of Medical Sciences and Research Hospital,India,Asia-Pacific,Teaching Hospital,16.800000000000004,91.06,1
144,Apollo KH Hospital; Melvisharam,India,Asia-Pacific,General Hospital,16.800000000000004,90.99,1
145,Apollo Rajshree Hospitals Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,90.93,1
146,Apollo Reach Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,90.87,1
147,Apollo Reach Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,90.81,1
148,Apollo Sage Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,90.74,1
149,Apollo Speciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,90.68,1
150,Apollo Speciality Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,90.62,1
151,Apollo Speciality Hospitals(A Unit of Apollo Hospitals Enterprise Limited),India,Asia-Pacific,General Hospital,16.800000000000004,90.55,1
152,Apollo Speciality Hospitals; Vanagaram,India,Asia-Pacific,General Hospital,16.800000000000004,90.49,1
153,Apollo Spectra Hospitals (A Unit of Nano Hospitals Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.800000000000004,90.43,1
154,Apollomedics Super Speciality Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,90.37,1
155,Apple Maitreya Hospital; Surat,India,Asia-Pacific,General Hospital,16.800000000000004,90.30,1
156,Apple Saraswati Multi Speciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,90.24,1
157,Aravali Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,90.18,1
158,Archana Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,90.11,1
159,Arihant Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,90.05,1
160,Arihant Multispeciality Hospital (A Unit of Kusumgar Healthcare Private Limited),India,Asia-Pacific,General Hospital,16.800000000000004,89.99,1
161,Armaan Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,89.92,1
162,Arora Neuro Centre,India,Asia-Pacific,Neurological Specialty,16.800000000000004,89.86,1
163,Arpa Medcity Hospital & Research Institute,India,Asia-Pacific,Teaching Hospital,16.800000000000004,89.80,1
164,Arpana Hospital (A Unit of Arpana Research and Charities Trust),India,Asia-Pacific,General Hospital,16.800000000000004,89.74,1
165,Artemis Health Institute (A Unit of Artemis Medicare Services Ltd.),India,Asia-Pacific,Teaching Hospital,16.800000000000004,89.67,1
166,Aryaa Neuro Spine & Super Speciality Hospital Pvt. Ltd.,India,Asia-Pacific,Neurological Specialty,16.800000000000004,89.61,1
167,Aryavart Hospital (A Unit of Shreya Medicare Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.800000000000004,89.55,1
168,Asha Hospital (A Unit of Asha Institute of Medical Sciences & Research Centre Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,16.800000000000004,89.48,1
169,Asha Kiran- The Criti Care Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,89.42,1
170,Ashirwad Maternity Home,India,Asia-Pacific,Women & Child Specialty,16.800000000000004,89.36,1
171,Ashish Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,89.29,1
172,Ashoka Medicover Hospitals (A Unit Of Sahrudaya Health Care Pvt Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,89.23,1
173,Ashutosh Hospital & Trauma Centre,India,Asia-Pacific,General Hospital,16.800000000000004,89.17,1
174,Ashwini Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,89.11,1
175,Ashwini Sahakari Rugnalaya ANI Sanshodhan Kendra NIY,India,Asia-Pacific,General Hospital,16.800000000000004,89.04,1
176,Ashwini Trauma Centre (Unit Of Cuttack Hospitals Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.800000000000004,88.98,1
177,Asian City Hospital (A Unit of Blue Sapphire Healthcare Pvt. Ltd.),India,Asia-Pacific,General Hospital,16.800000000000004,88.92,1
178,Asian Heart Institute and Research Centre,India,Asia-Pacific,Cardiac Specialty,16.800000000000004,88.85,1
179,Asian Institute of Medical Sciences (A Unit of Blue Sapphire Healthcares Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,16.800000000000004,88.79,1
180,Asian Institute of Medical Sciences (AIMS Hospital),India,Asia-Pacific,Teaching Hospital,16.800000000000004,88.73,1
181,Asian Institute of Nephrology & Urology,India,Asia-Pacific,Teaching Hospital,16.800000000000004,88.66,1
182,Asian Noble Hospital Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,88.60,1
183,Asian Vascular Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,88.54,1
184,Asian Vivekanand Super Specialty Hospital,India,Asia-Pacific,Multi Specialty,16.800000000000004,88.48,1
185,Aster Aaadhar Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,88.41,1
186,Aster Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,88.35,1
187,Aster Medcity,India,Asia-Pacific,General Hospital,16.800000000000004,88.29,1
188,Aster MIMS Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,88.22,1
189,Aster Narayanadri Hospital (A Unit of Aster DM Healthcare Limited),India,Asia-Pacific,General Hospital,16.800000000000004,88.16,1
190,Aster PMF Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,88.10,1
191,Aster Prime Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,88.04,1
192,Aster RV Hospital ( A Unit of Aster DM Healthcare Ltd.),India,Asia-Pacific,General Hospital,16.800000000000004,87.97,1
193,Atlanta Mediworld Multi Speciality Hospital & Research Centre (A Unit of RRM Services),India,Asia-Pacific,General Hospital,16.800000000000004,87.91,1
194,Atreya Hospital (A Unit Of DMRI),India,Asia-Pacific,General Hospital,16.800000000000004,87.85,1
195,Aureus Institute of Medical Sciences,India,Asia-Pacific,Teaching Hospital,16.800000000000004,87.78,1
196,Avanti Institute of Cardiology Pvt. Ltd,India,Asia-Pacific,Cardiac Specialty,16.800000000000004,87.72,1
197,Avee Hospital (A Unit of Kastura Medicos Ltd.) - (Earlier Certificate issued in the name of Aarogya Hospital); Vaishali,India,Asia-Pacific,General Hospital,16.800000000000004,87.66,1
198,Avitis Super Specialty Hospitals Pvt. Ltd.,India,Asia-Pacific,Multi Specialty,16.800000000000004,87.59,1
199,Avron Hospitals Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,87.53,1
200,Ayushman Bhav Health Institute,India,Asia-Pacific,Teaching Hospital,16.800000000000004,87.47,1
201,Ayushman Hospital & Health Services,India,Asia-Pacific,General Hospital,16.800000000000004,87.41,1
202,B C M Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,87.34,1
203,B T Savani Kidney Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,87.28,1
204,B. Lal Hospital & Research Center,India,Asia-Pacific,General Hospital,16.800000000000004,87.22,1
205,B.A.P.S. Shastriji Maharaj Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,87.15,1
206,B.M. Birla Heart Research Centre,India,Asia-Pacific,Cardiac Specialty,16.800000000000004,87.09,1
207,B.P Poddar Hospital & Medical Research Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,87.03,1
208,B.R. Shastri Hospital ( A Unit of Aryabhatta Academic Society),India,Asia-Pacific,General Hospital,16.800000000000004,86.96,1
209,Baby Memorial Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,86.90,1
210,Baby Memorial Hospital (A Unit of Genesis Institute of Medical Sciences Pvt. Ltd.),India,Asia-Pacific,Teaching Hospital,16.800000000000004,86.84,1
211,Baby Memorial Hospital Ltd. - (Earlier Certificate issued in the Name of Chazhikattu Hospital Private Ltd.),India,Asia-Pacific,General Hospital,16.800000000000004,86.78,1
212,Baderia Metroprime Multispeciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,86.71,1
213,Bai Jerbai Wadia Hospital for Children,India,Asia-Pacific,General Hospital,16.800000000000004,86.65,1
214,Bangalore Baptist Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,86.59,1
215,Bankers Heart Institute,India,Asia-Pacific,Cardiac Specialty,16.800000000000004,86.52,1
216,Bansal Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,86.46,1
217,Bansal Hospital (A Unit of Sagarshree Hospital and Research Institute Private Limited) - (Earlier Certificate issued in the name of Sagarshree Hospital & Research Institute Pvt. Ltd.).,India,Asia-Pacific,Teaching Hospital,16.800000000000004,86.40,1
218,BAPS Pramukh Swami Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,86.34,1
219,BAPS Yogiji Maharaj Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,86.27,1
220,Barala Hospital and Research Centre,India,Asia-Pacific,General Hospital,16.800000000000004,86.21,1
221,Basavatarakam Indo-American Cancer Institute & Research Centre,India,Asia-Pacific,Cancer Specialty,16.800000000000004,86.15,1
222,Batra Hospital & Medical Research Centre,India,Asia-Pacific,General Hospital,16.800000000000004,86.08,1
223,BBR Super Speciality Hospital; Medchal,India,Asia-Pacific,General Hospital,16.800000000000004,86.02,1
224,Believers Churuch Medical College Hospital,India,Asia-Pacific,Teaching Hospital,16.800000000000004,85.96,1
225,Belle Vue Clinic,India,Asia-Pacific,General Hospital,16.800000000000004,85.89,1
226,Bengal Faith Hospital (A Unit of Bengal Faith Healthcare Private Limited),India,Asia-Pacific,General Hospital,16.800000000000004,85.83,1
227,Best Super Speciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.77,1
228,Bethany Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.71,1
229,Bhagirathi Neotia Woman & Child Care Centre,India,Asia-Pacific,General Hospital,16.800000000000004,85.64,1
230,Bhagwan Das Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.58,1
231,Bhagwan Mahaveer Cancer Hospital & Research Centre,India,Asia-Pacific,Cancer Specialty,16.800000000000004,85.52,1
232,Bhagwan Mahaveer Jain Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.45,1
233,Bhagwan Mahavir Medica Superpecialty Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.39,1
234,Bhagwati Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.33,1
235,Bhailal Amin General Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.26,1
236,Bhaktivedanta Hospital and Research Institute,India,Asia-Pacific,Teaching Hospital,16.800000000000004,85.20,1
237,Bhale Ram Multispeciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.14,1
238,Bhandari Hospital & Research Centre,India,Asia-Pacific,General Hospital,16.800000000000004,85.08,1
239,Bharat Multispeciality Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,85.01,1
240,Bharat Vikash Parishad Hospital & Research Center,India,Asia-Pacific,General Hospital,16.800000000000004,84.95,1
241,Bharath Hospital and Institute of Oncology (A Unit of Sada Sharada Tumor and Research Institute),India,Asia-Pacific,Cancer Specialty,16.800000000000004,84.89,1
242,Bharati Vidyapeeth (Deemed To Be University) Medical College And Hospital Sangli,India,Asia-Pacific,Teaching Hospital,16.800000000000004,84.82,1
243,Bhardwaj Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,84.76,1
244,Bhartimaiya Memorial Foundation (Bharat Cancer Hospital & Nirali Memorial Radiation Centre),India,Asia-Pacific,Cancer Specialty,16.800000000000004,84.70,1
245,Bhatia Global Hospital & Endosurgery Institute,India,Asia-Pacific,Teaching Hospital,16.800000000000004,84.63,1
246,Bhatia Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,84.57,1
247,BIG Apollo Spectra Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,84.51,1
248,Billroth Hospitals Limited,India,Asia-Pacific,General Hospital,16.800000000000004,84.45,1
249,BIMR Hospitals,India,Asia-Pacific,General Hospital,16.800000000000004,84.38,1
250,Birsa Munda Government Medical College; Shahdol,India,Asia-Pacific,Teaching Hospital,16.800000000000004,84.32,1
251,BMRC Hospitals Ltd.; North 24 Parganas,India,Asia-Pacific,General Hospital,16.800000000000004,84.26,1
252,Bombay Hospital,India,Asia-Pacific,General Hospital,16.800000000000004,84.19,1
253,Bombay Hospital & Medical Research Centre,India,Asia-Pacific,General Hospital,16.800000000000004,84.13,1
254,Bombay Hospital & Research Centre,India,Asia-Pacific,General Hospital,16.800000000000004,84.07,1
255,Brahm Shakti Sanjivani Super Speciality Hospital; Jhajjar,India,Asia-Pacific,General Hospital,16.800000000000004,84.01,1
256,Brahmananda Naryana Multispeciaity Hospita,India,Asia-Pacific,General Hospital,16.800000000000004,83.94,1
257,Brahmchaitanya Superspeciality Hospital Pvt. Ltd.,India,Asia-Pacific,General Hospital,16.800000000000004,83.88,1
258,Breach Candy Hospital Trust,India,Asia-Pacific,General Hospital,16.800000000000004,83.82,1
259,Brij Lal Hospital & Research Centre Pvt. Ltd.; Haldwani (Nanital),India,Asia-Pacific,General Hospital,16.800000000000004,83.75,1
260,Brijesh Banger Memorial Hospital (A Unit of Jeevan Jyoti Seva Society),India,Asia-Pacific,General Hospital,16.800000000000004,83.69,1
261,BS Heartcare & Multispeciality Hospital,India,Asia-Pacific,Cardiac Specialty,16.800000000000004,83.63,1
262,Cancer Hospital & Research Institute,India,Asia-Pacific,Cancer Specialty,16.800000000000004,83.56,1
