reference_no,name,accreditation_no,valid_from,valid_upto,remarks,accreditation_type,country,status,extracted_date
H-2009-0133,"Dr B.L. Kapur Memorial Hospital, New Delhi, Delhi, India",H-2010-0054,09 Sep 2022,08 Sep 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.667428
H-2009-0304,"Gleneagles HealthCity Chennai (A Unit of Gleneagles Healthcare India Private Limited) - (Earlier Certificate issued in the Name of Gleneagles Global Hospitals and Health City), Chennai, Tamil Nadu, India",H-2010-0055,27 Oct 2022,26 Oct 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.667428
H-2009-0182,"Yashoda Super Speciality Hospital, Kaushambi, Ghaziabad, Uttar Pradesh, India",H-2010-0056,27 Oct 2022,26 Oct 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.667428
H-2009-0134,"Jeewan Nursing Home & Hospital, Pusa Road, New Delhi, Delhi, India",H-2010-0057,27 Oct 2022,26 Oct 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.667428
H-2009-0125,"Max Super Specialty Hospital, Vaisali, Ghaziabad, Uttar Pradesh, India",H-2010-0058,29 Oct 2022,28 Oct 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.667428
H-2007-0043,"Yashoda Hospital, Secunderabad, Andhra Pradesh, India",H-2010-0059,09 Dec 2022,08 Dec 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2009-0355,"Holy Family Hospital, Mumbai, Maharashtra, India",H-2010-0060,27 Oct 2022,26 Oct 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2008-0083,"Primus Super Speciality Hospital , New Delhi, Delhi, India",H-2010-0061,06 Dec 2022,05 Dec 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2009-0112,"Max Hospital, Gurgaon, Haryana, India",H-2010-0062,24 Nov 2022,23 Nov 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2008-0074,"Vijaya Medical & Educational Trust , Chennai, Tamil Nadu, India",H-2011-0064,09 Jun 2022,08 Jun 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2009-0327,"General Hospital, Ernakulam, Kerala, India",H-2011-0065,28 Jan 2017,27 Jan 2020,Moved to SHCO,NABH,India,Expired,2025-09-22T12:39:43.668538
H-2010-0386,"Lilavati Hospital and Research Centre, Mumbai, Maharashtra, India",H-2011-0066,01 Feb 2023,31 Jan 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2009-0359,"Apollo Hospitals International Limited, Gandhinagar, Gujarat, India",H-2011-0067,04 Feb 2017,03 Feb 2020,Moved to ECO,NABH,India,Expired,2025-09-22T12:39:43.668538
H-2009-0251,"Max Super Specialty Hospital, Patparganj (Run by Balaji Medical and Diagnostic Research Center) , New Delhi, Delhi, India",H-2011-0068,04 Feb 2023,03 Feb 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2009-0139,"Metro Hospital & Heart Institute, Sec. 11 and 12 , Noida, Uttar Pradesh, India",H-2011-0069,23 Feb 2023,22 Feb 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2007-0042,"Delhi Heart and Lung Institute, New Delhi, Delhi, India",H-2011-0070,23 Feb 2023,22 Feb 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2008-0090,"Mehta Childern’s Hospitals Pvt. Ltd., Chennai, Tamil Nadu, India",H-2011-0071,27 Sep 2016,26 Sep 2019,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.668538
H-2009-0322,"Manipal Hospital, Gurgaon, Haryana, India",H-2011-0072,23 Mar 2023,22 Mar 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.668538
H-2010-0396,"Medanta – The Medicity , Gurgaon, Haryana, India",H-2011-0073,23 Mar 2023,22 Mar 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0159,"Metro Hospital & Cancer Institute, Preet Vihar , New Delhi, Delhi, India",H-2011-0074,16 Apr 2023,15 Apr 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0108,"District Govt. Head Quarters Hospital , Namakkal, Tamil Nadu, India",H-2011-0075,25 Apr 2014,24 Apr 2017,Moved to SHCO,NABH,India,Expired,2025-09-22T12:39:43.669522
H-2009-0276,"Rainbow Children's Medicare Pvt. Ltd. , Hyderabad, Telangana, India",H-2011-0076,10 Jun 2024,09 Jun 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0323,"Manipal Hospitals Private Limited , Bangalore, Karnataka, India",H-2011-0077,10 Jun 2023,09 Jun 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0275,"Star Hospitals, Hyderabad, Telangana, India",H-2011-0078,10 Jun 2024,09 Jun 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0350,"Fortis Escorts Hospital , Amritsar, Punjab, India",H-2011-0079,10 Jun 2023,09 Jun 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2010-0376,"V.G.M. Hospital , Coimbatore, Tamil Nadu, India",H-2011-0080,27 Oct 2021,26 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0260,"L.V. Prasad Eye Institute , Hyderabad, Telangana, India",H-2011-0081,10 Jun 2017,09 Jun 2020,Shifted to ECO,NABH,India,Expired,2025-09-22T12:39:43.669522
H-2007-0048,"Fortis Health Management Ltd.,Nagarabhavi , Bangalore, Karnataka, India",H-2011-0082,10 Jun 2024,09 Jun 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0214,"Indraprastha Medical Corporation Ltd., Noida, Uttar Pradesh, India",H-2011-0083,10 Jun 2023,09 Jun 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2010-0457,"Aster MIMS Hospital, Kottakkal, Kerala, India",H-2011-0084,10 Jun 2024,09 Jun 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2010-0403,"Mazumdar Shaw Medical Centre (Unit of Narayana Hrudayalaya Pvt. Ltd.), Bangalore, Karnataka, India",H-2011-0085,10 Jun 2024,09 Jun 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0164,"Yashoda Healthcare Services Limited, Malakpet - (Earlier Certificate issued in the Name of Yashoda Super Speciality Hospitall), Hyderabad, Telangana, India",H-2011-0086,10 Jun 2023,09 Jun 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2010-0379,"Sarvodaya Hospital & Research Centre , Faridabad, Haryana, India",H-2011-0087,20 Jun 2023,19 Jun 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2011-0487,"Asian Institute of Medical Sciences (A Unit of Blue Sapphire Healthcares Pvt. Ltd.), Faridabad, Haryana, India",H-2011-0088,24 Jun 2023,23 Jun 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.669522
H-2009-0333,"Dr. Balabhai Nanavati Hospital , Mumbai, Maharashtra, India",H-2011-0089,02 Dec 2021,01 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2009-0307,"Desun Hospital & Heart Institute (A Unit of P. N. Memorial Neurocentre & Research Institute Ltd.), Kolkata, West Bengal, India",H-2011-0090,27 Jun 2023,26 Jun 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2009-0191,"Jeewan Mala Hospital Pvt. Ltd. , New Delhi, Delhi, India",H-2011-0091,07 Jul 2023,06 Jul 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2010-0388,"Mallya Hospital, Bangalore, Karnataka, India",H-2011-0092,18 Jul 2017,17 Jul 2020,Accreditation Expired - Application Closed,NABH,India,Expired,2025-09-22T12:39:43.670518
H-2009-0116,"Ganga Care Hospital Ltd. (Care Hospital), Nagpur, Maharashtra, India",H-2011-0093,18 Jul 2024,17 Jul 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2010-0397,"Bangalore Baptist Hospital, Bangalore, Karnataka, India",H-2011-0095,29 Jul 2023,28 Jul 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2009-0257,"Krishna Institute of Medical Sciences Ltd., Secunderabad, Andhra Pradesh, India",H-2011-0096,29 Jul 2023,28 Jul 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2009-0128,"Park Hospital, New Delhi, Delhi, India",H-2011-0097,03 Jul 2022,02 Jul 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2009-0190,"Care Hospital (A Unit of Quality Care India Ltd.) - (Earlier Certificate issued in the name of CARE Hospital), Hyderabad, Telangana, India",H-2011-0099,11 Aug 2024,10 Aug 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2009-0144,"National Heart Institute, New Delhi, Delhi, India",H-2011-0100,12 Aug 2023,11 Aug 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2010-0464,"Baroda Heart Institute & Research Centre, Vadodara, Gujarat, India",H-2011-0101,17 Aug 2014,16 Aug 2017,Transfer to SHCO,NABH,India,Expired,2025-09-22T12:39:43.670518
H-2009-0365,"Sahyadri Super Speciality Hospital, Pune, Maharashtra, India",H-2011-0102,26 Aug 2023,25 Aug 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2010-0415,"Bankers Heart Institute, Vadodara, Gujarat, India",H-2011-0103,29 Aug 2024,28 Aug 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2006-0017,"Rabindranath Tagore International Institute of Cardiac Sciences (Unit of Narayana Hrudayalaya Ltd.), Kolkata, West Bengal, India",H-2011-0104,01 Sep 2024,31 Aug 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.670518
H-2009-0155,"Sri Balaji Action Medical Institute, New Delhi, Delhi, India",H-2011-0105,03 Oct 2023,02 Oct 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2009-0119,"Medical Trust Hospital, Kochi, Kerala, India",H-2011-0106,03 Oct 2024,02 Oct 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2009-0131,"Vikram Hospital Private Ltd., Mysore, Karnataka, India",H-2011-0107,03 Oct 2014,02 Oct 2017,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.671472
H-2009-0160,"CARE Hospital, Surat, Gujarat, India",H-2011-0108,03 Aug 2011,02 Aug 2014,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.671472
H-2009-0302,"Apollo Hospitals, Secunderabad, Andhra Pradesh, India",H-2011-0109,03 Oct 2023,02 Oct 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2009-0143,"Metro Hospital & Heart Institute, Lajpat Nagar, New Delhi, Delhi, India",H-2011-0110,03 Oct 2017,02 Oct 2020,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.671472
H-2009-0141,"RLKC Hospital- Metro Heart Institute, New Delhi, Delhi, India",H-2011-0111,03 Oct 2024,02 Oct 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2009-0209,"Care Hospitals (Quality Care India Limited), Visakhapatnam, Andhra Pradesh, India",H-2011-0112,28 Oct 2024,27 Oct 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2010-0378,"Hospital for Mental Health, Vadodara, Gujarat, India",H-2011-0113,02 Nov 2011,01 Nov 2014,Moved to SHCO,NABH,India,Expired,2025-09-22T12:39:43.671472
H-2010-0454,"Jupiter Hospital, Thane, Maharashtra, India",H-2011-0114,08 Nov 2024,07 Nov 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2009-0227,"Manipal Hospital Private Limited, Jaipur, Rajasthan, India",H-2011-0115,09 Nov 2024,08 Nov 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2009-0104,"Government. Hospital, Sholingur, Tamil Nadu, India",H-2011-0116,02 Nov 2011,01 Nov 2014,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.671472
H-2009-0192,"Sun Medical & Research Centre , Trichur, Kerala, India",H-2011-0117,16 Nov 2017,15 Nov 2020,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.671472
H-2010-0375,"Nidhi Hospital, Ahmedabad, Gujarat, India",H-2011-0118,24 Sep 2022,23 Sep 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2009-0118,"Livasa Hospital (A Unit of Ivy Health and Life Sciences Private Limited) (Earlier Certificate issued in the name of Ivy Hospital Mohali (A Unit of Ivy Health & Life Sciences Pvt. Ltd.), Mohali, Punjab, India",H-2011-0119,12 Dec 2023,11 Dec 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2009-0140,"Metro Hospital & Heart Institute, Meerut, Uttar Pradesh, India",H-2012-0120,02 Jan 2025,01 Jan 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2010-0468,"Institute of liver & Biliary Sciences, Vasant Kunj, New Delhi, Delhi, India",H-2012-0121,05 Jan 2023,04 Jan 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.671472
H-2007-0044,"Indian Spinal Injuries Centre, New Delhi, Delhi, India",H-2012-0122,16 Jan 2025,15 Jan 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2009-0096,"Institute of Human Behaviour & Allied Sciences (IHBAS), New Delhi, Delhi, India",H-2012-0123,03 Feb 2015,02 Feb 2018,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.672520
H-2010-0430,"Medical Research Foundation - Sankara Nethralaya , Chennai, Tamil Nadu, India",H-2012-0124,20 Dec 2018,19 Dec 2021,Shifted to ECO,NABH,India,Expired,2025-09-22T12:39:43.672520
H-2009-0099,"Narayana Nethralaya (NN1), Bangalore, Karnataka, India",H-2012-0125,03 Feb 2015,02 Feb 2018,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.672520
H-2009-0173,"Apex Hospitals Pvt. Ltd., Jaipur, Rajasthan, India",H-2012-0126,03 Feb 2025,02 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2009-0120,"Kamineni Hospitals Pvt Ltd, Hyderabad, Telangana, India",H-2012-0127,03 Feb 2024,02 Feb 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2009-0132,"Max Smart Super Speciality Hospital, New Delhi, Delhi, India",H-2012-0128,03 Feb 2024,02 Feb 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2010-0456,"Omega Hospital, Hyderabad, Telangana, India",H-2012-0129,31 Mar 2022,30 Mar 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2011-0472,"Fortis Hospital, Bannerghatta Road, Bangalore, Karnataka, India",H-2012-0130,16 Apr 2025,15 Apr 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2008-0066,"Healthcare Global Enterprises Ltd, Bangalore, Karnataka, India",H-2012-0131,12 May 2025,11 May 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2009-0154,"Khandelwal Hospital & Urology Centre, New Delhi, Delhi, India",H-2012-0132,03 Jul 2016,02 Jul 2019,Accredition expired Not undergone renewal Asessment,NABH,India,Expired,2025-09-22T12:39:43.672520
H-2009-0287,"Aster Prime Hospitals, Hyderabad, Telangana, India",H-2012-0133,21 May 2025,20 May 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2009-0114,"Guru Nanak Care Hospital, Hyderabad, Telangana, India",H-2012-0134,21 May 2025,20 May 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2011-0539,"GEM Hospital & Research Centre Private Ltd., Coimbatore, Tamil Nadu, India",H-2012-0135,09 Jun 2022,08 Jun 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2009-0248,"Bhandari Hospital & Research Centre, Jaipur, Rajasthan, India",H-2012-0136,21 May 2025,20 May 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
H-2008-0076,"Kovai Medical Centre and Hospitals, Coimbatore, Tamil Nadu, India",H-2012-0137,01 Jun 2025,31 May 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.672520
