reference_no,name,accreditation_no,valid_from,valid_upto,remarks,accreditation_type,facility_type,country,status,extracted_date
D-2015-0066,"Dr Ramani's Dental Practice, Jaipur, Rajasthan, India",D-2016-0013,16 Mar 2016,15 Mar 2019,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.352049
D-2014-0039,"Indus Hygiea (Unit of Indus Speciality Care) - (Earlier Certificate issued in the Name of Indus Hygiea), Mohali, Punjab, India",D-2016-0014,16 Apr 2025,15 Apr 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.356270
D-2014-0043,"Jindal Rehablitation & Dental Centre , Meerut, Uttar Pradesh, India",D-2016-0015,25 Nov 2020,24 Nov 2023,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0081,"Dental Life, Aliganj , New Delhi, Delhi, India",D-2016-0016,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0079,"Dental Life, Chitragupta  , New Delhi, Delhi, India",D-2016-0017,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0080,"Dental Life, Kalibari , New Delhi, Delhi, India",D-2016-0018,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0087,"Dental Life, Sadiq Nagar  , New Delhi, Delhi, India",D-2016-0019,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0077,"Dental Life, Pushp Vihar , New Delhi, Delhi, India",D-2016-0020,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0076,"Dental Life, Zakir hussain , New Delhi, Delhi, India",D-2016-0021,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0078,"Dental Life, RK Puram  , New Delhi, Delhi, India",D-2016-0022,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0085,"Dental Life, Motibagh , New Delhi, Delhi, India",D-2016-0023,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0083,"Dental Life, Chanakyapuri  , New Delhi, Delhi, India",D-2016-0024,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0082,"Dental Life, Faridabad, Haryana, India",D-2016-0025,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0084,"Dental Life, Kalkaji , Delhi, Delhi, India",D-2016-0026,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0086,"Dental Life, Gurgaon, Haryana, India",D-2016-0027,10 May 2016,09 May 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2015-0051,"Dr. Futela's Dental Centre, Gurgaon, Haryana, India",D-2016-0028,10 May 2016,09 May 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2014-0010,"Leela Dental Clinic, New Delhi, Delhi, India",D-2016-0029,10 May 2016,09 May 2019,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2014-0019,"Dr. Shweta's Dental Clinic, New Delhi, Delhi, India",D-2016-0030,03 Jul 2025,02 Jul 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.356270
D-2016-0071,"My Dentist (Total Dental Care Pvt. Ltd.), Gokuldham, Mumbai, Maharashtra, India",D-2016-0031,03 Jul 2016,02 Jul 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2016-0088,"Triveni Dental (A Unit of Triveni wellness Pvt. Ltd.), Bhiwani, Haryana, India",D-2016-0032,07 Sep 2022,06 Sep 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2015-0067,"Dr. Ashok's Dentistree, Delhi, Delhi, India",D-2016-0033,27 Sep 2022,26 Sep 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2014-0026,"Delhi Dental And Medical Centre, New Delhi, Delhi, India",D-2016-0034,10 Nov 2016,09 Nov 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.356270
D-2015-0058,"Kotilingams Dental Clinic, Guntur, Andhra Pradesh, India",D-2016-0035,10 Nov 2022,09 Nov 2025,Renewal Under Process,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.356270
D-2014-0035,"Khare Dental Clinic & Implant Centre, Nagpur, Maharashtra, India",D-2016-0036,22 Dec 2022,21 Dec 2025,Renewal Under Process,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.356270
D-2016-0099,"Jain Dental Centre, Delhi, Delhi, India",D-2016-0037,22 Dec 2022,21 Dec 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2016-0102,"Dr. Sanjay Kalra's Multispeciality Dental Clinic, Panchkula, Haryana, India",D-2017-0038,01 Jul 2021,30 Jun 2024,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2014-0033,"Dr. Bhim Sain's Family Dental Clinic and Dental Laboratory, Gurgaon, Haryana, India",D-2017-0039,11 Apr 2023,10 Apr 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2016-0100,"Chhabaria's Oral Maxillo Facial Surgery and Dental Clinic, Ahmedabad, Gujarat, India",D-2017-0040,11 Apr 2017,10 Apr 2020,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2016-0108,"Aashu Dental & Multispeciality Clinic, Ahmedabad, Gujarat, India",D-2017-0041,11 Apr 2023,10 Apr 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2015-0068,"Star Dental Clinic, Delhi, Delhi, India",D-2017-0042,22 May 2017,21 May 2020,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2016-0105,"Max Multispeciality Centre, Panchsheel Park, Delhi, Delhi, India",D-2017-0043,15 Sep 2022,14 Sep 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2016-0111,"Muskaan Dentals - (Earlier Certificate issued in the Name of Sudarshan Poly Dental Centre), Gurgaon, Haryana, India",D-2017-0044,19 Aug 2024,18 Aug 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2016-0103,"Anu's Dental Clinic, Hyderabad, Telangana, India",D-2017-0045,26 Aug 2024,25 Aug 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2016-0098,"Singhvi Dental Care  , Jodhpur, Rajasthan, India",D-2017-0046,07 Mar 2024,06 Mar 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2017-0119,"R.P.S Memorial Multispeciality Dental Clinic, Delhi, Delhi, India",D-2017-0047,06 Aug 2023,05 Aug 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2016-0073,"Kakarla Multi Speciality Dental Hospital, Tirupati, Andhra Pradesh, India",D-2017-0048,15 Nov 2023,14 Nov 2027,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2016-0107,"Creative Smiles Dental solutions Multispecialty Dental Clininc, Thane, Maharashtra, India",D-2017-0049,15 Nov 2017,14 Nov 2020,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2017-0120,"Gupta Multispeciality Dental Clinic, Delhi, Delhi, India",D-2017-0050,15 Nov 2023,14 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2017-0122,"Facio Dental Super Speciality Clinic, Delhi, Delhi, India",D-2017-0051,15 Nov 2023,14 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2016-0106,"HealthySmile Dental Clinic And Orthodontic Centre, Jabalpur, Madhya Pradesh, India",D-2018-0052,08 Jan 2024,07 Jan 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.360476
D-2017-0121,"Shree Sai Samarth Dental Clinic & Implant Centre, Pune, Maharashtra, India",D-2018-0053,08 Jan 2018,07 Jan 2021,Accreditation Expired,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2017-0123,"K K Hitech Dental Clinic, Piler, Chittor, Andhra Pradesh, India",D-2018-0054,08 Jan 2018,07 Jan 2021,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2017-0125,"Dr. Rimo Multispeciality Dental Clinic, Chennai, Tamil Nadu, India",D-2018-0055,08 Jan 2021,07 Jan 2024,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2017-0130,"Happysmiles Dental Clinic, Pune, Maharashtra, India",D-2018-0056,08 Jan 2018,07 Jan 2021,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2017-0133,"Grace Dental Clinic, Gurgaon, Haryana, India",D-2018-0057,08 Jan 2018,07 Jan 2021,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.360476
D-2017-0134,"The Healing Touch Dental Care, Delhi, Delhi, India",D-2018-0058,18 Feb 2024,17 Feb 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
D-2017-0141,"Muskaan Dentals, Gurgaon, Haryana, India",D-2018-0059,17 Feb 2024,16 Feb 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
D-2016-0112,"Foundation , Ballabhgarh, Haryana, India",D-2018-0060,11 Mar 2018,10 Mar 2021,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
DC-2018-0145,"Dr. Goyal's The Dental Solutions, Thane, Maharashtra, India",D-2018-0061,24 Aug 2023,23 Aug 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
DC-2018-0146,"Swastik Dental Care, Pune, Maharashtra, India",D-2018-0062,16 Jun 2018,15 Jun 2021,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
D-2016-0109,"Devanshi Dental Centre, Nagpur, Maharashtra, India",D-2018-0063,22 Jul 2018,21 Jul 2021,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
D-2017-0124,"Sri Guru Harkrishan Sahib ( C ) Eye Hospital Trust- Sohana ( Dental Department), Sohana, Punjab, India",D-2018-0064,22 Jul 2021,21 Jul 2024,Voluntary Withdrawal of Accreditation w.e.f. 24th August 2023,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
D-2017-0129,"32 Pearls Multispeciality Dental Clinic & Implant Centre, Ahmedabad, Gujarat, India",D-2018-0065,13 Feb 2025,12 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
D-2017-0136,"Oral Care Dental Health & Orthodontic Centre, Delhi, Delhi, India",D-2018-0066,22 Jul 2024,21 Jul 2028,Accreditation Renewed,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
DC-2018-0151,"Sarada Dental Care, Challapalli, Andhra Pradesh, India",D-2018-0067,20 Oct 2022,19 Oct 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
D-2017-0135,"Dr. Sachin Mittal's Advanced Dentistry, Hisar, Haryana, India",D-2018-0068,16 Sep 2024,15 Sep 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
D-2017-0118,"Vijaya Super Speciality Dental & Maxillo facial Trauma Care Centre, Rajahmundry, Andhra Pradesh, India",D-2018-0069,27 Oct 2024,26 Oct 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
DC-2018-0155,"Urban Tooth Dental Clinic, Thane, Maharashtra, India",D-2018-0070,27 Oct 2018,26 Oct 2021,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
DC-2018-0161,"Advanced Dental Clinic & Oral Surgical Center, Pune, Maharashtra, India",D-2018-0071,20 Dec 2024,19 Dec 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
D-2017-0138,"FMS Dental Pvt. Ltd., Hyderabad, Telangana, India",D-2018-0072,27 Jan 2023,26 Jan 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
DC-2018-0152,"Sujay's Dental Care, Bangalore, Karnataka, India",D-2018-0073,20 Dec 2018,19 Dec 2021,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
D-2017-0126,"Kommineni Super Speciality Dental Hospital, Tirupati, Andhra Pradesh, India",D-2019-0074,13 Jan 2025,12 Jan 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
DC-2018-0165,"Sri Sai Appolo Dental Hospital, Ananthapur, Andhra Pradesh, India",D-2019-0075,13 Jan 2022,12 Jan 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
D-2017-0137,"Nemaly Facial And Multispeciality Dental Hospital, Madanapalle, Chittor, Andhra Pradesh, India",D-2019-0076,13 Jan 2019,12 Jan 2022,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
DC-2018-0156,"Pranu Dental Hospital, Tirupati, Andhra Pradesh, India",D-2019-0077,24 Feb 2022,23 Feb 2025,Forced Withdrawal of Accreditation w.e.f. 4th July 2024,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.364660
DC-2018-0163,"Sanil Multispeciality Dental Clinic, Jabalpur, Madhya Pradesh, India",D-2019-0078,24 Feb 2025,23 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
D-2017-0132,"S N Dental Clinic, Balaramapuram, Trivandrum, Kerala, India",D-2019-0079,24 Feb 2025,23 Feb 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.364660
DC-2018-0148,"Confident Dental Care, Bangalore, Karnataka, India",D-2019-0080,31 Mar 2022,30 Mar 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2018-0158,"Jyoti Dental Care Center, Ghaziabad, Uttar Pradesh, India",D-2019-0081,29 Apr 2025,28 Apr 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2018-0154,"Dental Folks, Delhi, Delhi, India",D-2019-0082,29 Apr 2025,28 Apr 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2018-0183,"Therapeuo Dental and Multispeciality Clinic, Mumbai, Maharashtra, India",D-2019-0083,29 Apr 2019,28 Apr 2022,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2018-0185,"Dr. Kochar's House of Smiles, Chandigarh, Punjab, India",D-2019-0084,27 Jul 2022,26 Jul 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2018-0176,"The Caring Touch, New Delhi, Delhi, India",D-2019-0085,27 Jul 2022,26 Jul 2025,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2018-0184,"Kushi Dental Care, Chittor, Andhra Pradesh, India",D-2019-0086,26 Aug 2022,25 Aug 2025,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2018-0172,"Dentapple Dental Clinic & Implant Centre, New Delhi, Delhi, India",D-2019-0087,26 Aug 2019,25 Aug 2022,Voluntary Withdrawal w.e.f. 23rd Feb 2022,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2018-0180,"Dr. Preet's Dental & Orthodontic Clinic Dental Implant Research Centre, Delhi, Delhi, India",D-2019-0088,24 Sep 2022,23 Sep 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2018-0177,"Usha Smile Care , Sikar, Rajasthan, India",D-2019-0089,03 Nov 2019,02 Nov 2022,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2019-0194,"Dr. Ahluwalia Dental Care Centre, Ambala, Haryana, India",D-2019-0090,03 Nov 2022,02 Nov 2025,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
D-2017-0128,"Dr. Gupta's Dental and Braces Clinic, Delhi, Delhi, India",D-2019-0091,03 Dec 2019,02 Dec 2022,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2019-0201,"K C Multispeciality Dental Clinic, Srikakulam, Andhra Pradesh, India",D-2020-0092,11 Jan 2023,10 Jan 2026,Renewal Under Process,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
D-2018-0187,"Adhiparasakthi Dental College & Hospital, Kanchipuram, Tamil Nadu, India",D-2020-0093,11 Jan 2023,10 Jan 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
D-2017-0113,"Government Dental College & Hospital, Ahmedabad, Gujarat, India",D-2020-0094,11 Jan 2020,10 Jan 2023,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2019-0211,"Indira Multispeciality Dental Hospital, Nellore, Andhra Pradesh, India",D-2020-0095,11 Jan 2023,10 Jan 2026,"Accreditation under Suspension w.e.f . June 11, 2025",NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0210,"Happy Dental Hospital, Nellore, Andhra Pradesh, India",D-2020-0096,11 Jan 2023,10 Jan 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0204,"Kamala Dental Speciality Hospital, Thiruvananthapuram, Kerala, India",D-2020-0097,11 Jan 2023,10 Jan 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
D-2017-0127,"Retrofit (Navkar Dental Clinic), Vadodara, Gujarat, India",D-2020-0098,20 May 2020,19 May 2023,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2019-0203,"Leela Super Speciality Dental Hospital, Kakinada, Andhra Pradesh, India",D-2020-0099,20 May 2023,19 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0208,"H Dental , Hyderabad, Telangana, India",D-2020-0100,20 May 2020,19 May 2023,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2019-0212,"Kapil Dental Clinic and Implant Center, New Delhi, Delhi, India",D-2020-0101,20 May 2023,19 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0215,"Integrated Dental Concepts, Mumbai, Maharashtra, India",D-2020-0102,20 May 2020,19 May 2023,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2019-0228,"Apple Dental Care (A Unit of M/S Apple Oral and Dental Private Limited), Vijayawada, Andhra Pradesh, India",D-2020-0103,20 May 2023,19 May 2026,Forced Withdrawal of Accreditation w.e.f. 21st August 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0230,"Mittal Dental Clinic , Ambala, Haryana, India",D-2020-0104,20 May 2023,19 May 2026,Forced Withdrawal of Accreditation w.e.f. 12th Jan 2025,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0249,"Apple International Dental Hospital , Visakhapatnam, Andhra Pradesh, India",D-2020-0105,20 May 2023,19 May 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2018-0189,"Manavi Medico Dental Centre , Aurangabad, Maharashtra, India",D-2020-0106,20 May 2023,19 May 2026,Voluntary Withdrawal of Accreditation w.e.f. 1st May 2024,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2018-0164,"Jays Dental Care - A Unit of Jays Dental Pvt. Ltd., Chennai, Tamil Nadu, India",D-2020-0107,01 Aug 2023,31 Jul 2027,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0200,"Dental Square , Jabalpur, Madhya Pradesh, India",D-2020-0108,01 Aug 2023,31 Jul 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0197,"Dental House, Jabalpur, Madhya Pradesh, India",D-2020-0109,22 Sep 2020,21 Sep 2023,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2018-0179,"Dr. Saigals Dental Clinic and Implant Centre, Ghaziabad, Uttar Pradesh, India",D-2020-0110,22 Sep 2023,21 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0217,"The Tooth Clinic , Ludhiana, Punjab, India",D-2020-0111,22 Sep 2023,21 Sep 2027,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0237,"Divis Dental Specialties & Oral Implant Centre , Nellore, Andhra Pradesh, India",D-2020-0112,22 Sep 2023,21 Sep 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0220,"Gupta's Dental Clinic & Implant Center, Durgapuri Chowck, Shahdara, New Delhi, Delhi, India",D-2020-0113,25 Nov 2023,24 Nov 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2019-0229,"Goel Dental, Malviya Nagar, New Delhi, Delhi, India",D-2020-0114,25 Nov 2020,24 Nov 2023,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2019-0219,"Japjee Family Dental Clinic, Mohali, Punjab, India",D-2020-0115,25 Nov 2020,24 Nov 2023,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2020-0259,"JJ Dental Clinic , Kakinada, Andhra Pradesh, India",D-2020-0116,25 Nov 2020,24 Nov 2023,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
DC-2019-0235,"Dr. Aggarwals Aesthetic & Dental Center, Jodhpur, Rajasthan, India",D-2021-0117,14 Jan 2024,13 Jan 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.368689
DC-2018-0143,"Tathastu Superspeciality Dental Clinic, Bhopal, Madhya Pradesh, India",D-2021-0118,13 Feb 2021,12 Feb 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.368689
D-2019-0192,"Sharad Pawar Dental College and Hospital, Wardha, Maharashtra, India",D-2021-0119,13 Feb 2024,12 Feb 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2020-0254,"Care 32 Family Dental Care Centre, Mumbai, Maharashtra, India",D-2021-0120,13 Feb 2024,12 Feb 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2020-0256,"Sharan Dental Specialities , Bangalore, Karnataka, India",D-2021-0121,13 Feb 2024,12 Feb 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2020-0261,"32 Dentz Clinic, Noida, Uttar Pradesh, India",D-2021-0122,13 Feb 2024,12 Feb 2027,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2020-0269,"Sri Satya Sai Gokul Dental Clinic, Kadapa, Andhra Pradesh, India",D-2021-0123,11 Mar 2021,10 Mar 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2019-0224,"Tulsi Dental Clinic , Ajmer, Rajasthan, India",D-2021-0124,11 Mar 2024,10 Mar 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
DC-2019-0216,"Datun Dental Care, Bareilly, Uttar Pradesh, India",D-2021-0125,25 Mar 2021,24 Mar 2024,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2019-0232,"KP'S Multispeciality Dental Hospital, Vuyyuru, Vijayawada, Andhra Pradesh, India",D-2021-0126,15 Apr 2021,14 Apr 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.373021
DC-2019-0247,"Confydentz Dental & Maxillo Facial Center, Guntur, Andhra Pradesh, India",D-2021-0127,15 Apr 2024,14 Apr 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.373021
