serial_number,reference_number,name,accreditation_number,valid_from,valid_upto,remarks,additional_info,accreditation_level,accreditation_category,country,source,scraped_date,portal_url,row_number,data_version,city,state,address,valid_from_parsed,valid_upto_parsed,certification_status
11,PEH-2015-0062,"Taluk Quarters Hospital Thodupuzha, Idukki, Kerala, India",10 Jun 2015,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.054756,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,11,2.0,Idukki,Kerala,"Idukki, Kerala, India",,,Unknown
12,PEH-2015-0065,"Dr Gandhi's Nursing Home Pvt. Ltd., Mumbai, Maharashtra, India",24 Jun 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.054756,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,12,2.0,Mumbai,Maharashtra,"Mumbai, Maharashtra, India",,,Unknown
13,PEH-2015-0066,"Akash Hospital (A unit of Akash Institute of Medical Sciences & Research Centre), Devanahalli Town, Karnataka, India",01 Jun 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.054756,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,13,2.0,Devanahalli Town,Karnataka,"Devanahalli Town, Karnataka, India",,,Unknown
14,PEH-2015-0068,"Mcgann Teaching District Hospital, Shimoga, Karnataka, India",18 Jun 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.056766,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,14,2.0,Shimoga,Karnataka,"Shimoga, Karnataka, India",,,Unknown
15,PEH-2015-0074,"District Hospital Kanhangad, Kasargod, Kerala, India",08 Jul 2015,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.056766,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,15,2.0,Kasargod,Kerala,"Kasargod, Kerala, India",,,Unknown
16,PEH-2015-0075,"Yashodhara Super Speciality Hospital Pvt. Ltd., Solapur, Maharashtra, India",02 Jul 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.056766,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,16,2.0,Solapur,Maharashtra,"Solapur, Maharashtra, India",,,Unknown
17,PEH-2015-0080,"Bhagat Hospital, Janakpuri, New Delhi, Delhi, India",10 Jul 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.056766,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,17,2.0,New Delhi,Delhi,"Janakpuri, New Delhi, Delhi, India",,,Unknown
18,PEH-2015-0090,"Krishna Hospital, Mysore, Karnataka, India",11 Aug 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.056766,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,18,2.0,Mysore,Karnataka,"Mysore, Karnataka, India",,,Unknown
19,PEH-2015-0097,"District Male Hospital, Rampur, Uttar Pradesh, India",09 Aug 2015,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.056766,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,19,2.0,Rampur,Uttar Pradesh,"Rampur, Uttar Pradesh, India",,,Unknown
20,PEH-2015-0102,"Gokuldas Hospital Pvt.Ltd., Indore, Madhya Pradesh, India",27 Aug 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.058780,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,20,2.0,Indore,Madhya Pradesh,"Indore, Madhya Pradesh, India",,,Unknown
21,PEH-2015-0104,"Unique Super Speciality Center, Indore, Madhya Pradesh, India",01 Sep 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.058780,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,21,2.0,Indore,Madhya Pradesh,"Indore, Madhya Pradesh, India",,,Unknown
22,PEH-2015-0105,"Alpha Super Speciality Hospital, Hyderabad, Telangana, India",04 Sep 2015,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.058780,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,22,2.0,Hyderabad,Telangana,"Hyderabad, Telangana, India",,,Unknown
23,PEH-2015-0112,"Priya Hospital, Kanpur, Uttar Pradesh, India",18 Sep 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.058780,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,23,2.0,Kanpur,Uttar Pradesh,"Kanpur, Uttar Pradesh, India",,,Unknown
24,PEH-2015-0119,"Asha Hospital, Prayagraj, Uttar Pradesh, India",10 Oct 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.058780,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,24,2.0,Prayagraj,Uttar Pradesh,"Prayagraj, Uttar Pradesh, India",,,Unknown
25,PEH-2015-0124,"Rainbow Children Hospital, Bhopal, Madhya Pradesh, India",17 Oct 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.058780,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,25,2.0,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh, India",,,Unknown
26,PEH-2015-0130,"Rajlaxmi Kidney Hospital, Kalaburgi, Karnataka, India",02 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.058780,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,26,2.0,Kalaburgi,Karnataka,"Kalaburgi, Karnataka, India",,,Unknown
27,PEH-2015-0131,"Hombalkar Surgical Hospital, Sangli, Maharashtra, India",02 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.060791,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,27,2.0,Sangli,Maharashtra,"Sangli, Maharashtra, India",,,Unknown
28,PEH-2015-0135,"Soukhyada Health Care Private Limited, Davanagere, Karnataka, India",19 Oct 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.060791,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,28,2.0,Davanagere,Karnataka,"Davanagere, Karnataka, India",,,Unknown
29,PEH-2015-0137,"Fortis Suchirayu Hospital, Hubli, Karnataka, India",04 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.060791,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,29,2.0,Hubli,Karnataka,"Hubli, Karnataka, India",,,Unknown
30,PEH-2015-0141,"Babu Ishwar Sharan District Hospital , Gonda, Uttar Pradesh, India",17 Nov 2015,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.060791,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,30,2.0,Gonda,Uttar Pradesh,"Gonda, Uttar Pradesh, India",,,Unknown
31,PEH-2015-0143,"DCH, Basti, Uttar Pradesh, India",17 Nov 2015,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.060791,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,31,2.0,Basti,Uttar Pradesh,"Basti, Uttar Pradesh, India",,,Unknown
32,PEH-2015-0152,"Gautham Hospital,Panayapilly, Chulikal, Ernakulam, Kerala, India",12 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.060791,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,32,2.0,Ernakulam,Kerala,"Panayapilly, Chulikal, Ernakulam, Kerala, India",,,Unknown
33,PEH-2015-0153,"Kidney Care Hospital, Bijapur, Karnataka, India",25 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.060791,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,33,2.0,Bijapur,Karnataka,"Bijapur, Karnataka, India",,,Unknown
34,PEH-2015-0154,"Shendge Hospital & Research Center, Osmanabad, Maharashtra, India",27 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.062799,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,34,2.0,Osmanabad,Maharashtra,"Osmanabad, Maharashtra, India",,,Unknown
35,PEH-2015-0155,"Medaz Hospital & Health Care, Jabalpur, Madhya Pradesh, India",26 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.062799,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,35,2.0,Jabalpur,Madhya Pradesh,"Jabalpur, Madhya Pradesh, India",,,Unknown
36,PEH-2015-0158,"NHMMI Narayana Multispeciality Hospital, Raipur, Chattisgarh, India",24 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.062799,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,36,2.0,Raipur,Chattisgarh,"Raipur, Chattisgarh, India",,,Unknown
37,PEH-2015-0162,"Sadguru Netra Chikitsalaya, Satna, Madhya Pradesh, India",15 Dec 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.064482,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,37,2.0,Satna,Madhya Pradesh,"Satna, Madhya Pradesh, India",,,Unknown
38,PEH-2015-0164,"Sumiran Women's Hospital, Ahmedabad, Gujarat, India",18 Dec 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.064482,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,38,2.0,Ahmedabad,Gujarat,"Ahmedabad, Gujarat, India",,,Unknown
39,PEH-2015-0167,"Hindu Mission Health Services , Chennai, Tamil Nadu, India",19 Nov 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.066492,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,39,2.0,Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",,,Unknown
40,PEH-2015-0169,"Sampat Nursing Home, Chennai, Tamil Nadu, India",07 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.066492,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,40,2.0,Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",,,Unknown
41,PEH-2016-0173,"Maa Rewa Hospital, Harda, Madhya Pradesh, India",01 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.066492,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,41,2.0,Harda,Madhya Pradesh,"Harda, Madhya Pradesh, India",,,Unknown
42,PEH-2016-0175,"Mehta Multispeciality Hospital, Sadulpur, Churu, Rajasthan, India",06 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,42,2.0,Churu,Rajasthan,"Sadulpur, Churu, Rajasthan, India",,,Unknown
43,PEH-2016-0176,"Easvara Hospital, Madurai, Tamil Nadu, India",05 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,43,2.0,Madurai,Tamil Nadu,"Madurai, Tamil Nadu, India",,,Unknown
44,PEH-2016-0178,"Neoretina Eyecare Institute , Hyderabad, Telangana, India",09 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,44,2.0,Hyderabad,Telangana,"Hyderabad, Telangana, India",,,Unknown
45,PEH-2016-0179,"Care 24 Medical Centre And Hospital Care, Erode, Tamil Nadu, India",11 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,45,2.0,Erode,Tamil Nadu,"Erode, Tamil Nadu, India",,,Unknown
46,PEH-2016-0185,"Siddhi-Vinayak Hospital, Ahmedabad, Gujarat, India",15 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,46,2.0,Ahmedabad,Gujarat,"Ahmedabad, Gujarat, India",,,Unknown
47,PEH-2016-0188,"General Hospital Sira, Tumkur, Karnataka, India",20 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,47,2.0,Tumkur,Karnataka,"Tumkur, Karnataka, India",,,Unknown
48,PEH-2016-0189,"Ujjain Cheritable Hospital & Research Centre, Ujjain, Madhya Pradesh, India",22 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,48,2.0,Ujjain,Madhya Pradesh,"Ujjain, Madhya Pradesh, India",,,Unknown
49,PEH-2016-0190,"Bhopal Test Tube Baby Centre Pvt Ltd & Aman Hospital, Bhopal, Madhya Pradesh, India",23 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,49,2.0,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh, India",,,Unknown
50,PEH-2016-0196,"St. Joseph's Hospital, Mysore, Karnataka, India",28 Jan 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,50,2.0,Mysore,Karnataka,"Mysore, Karnataka, India",,,Unknown
51,PEH-2016-0200,"Vijan Hospital & Research Centre, Nasik, Maharashtra, India",03 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,51,2.0,Nasik,Maharashtra,"Nasik, Maharashtra, India",,,Unknown
52,PEH-2016-0206,"Chris Super Speciality Hospital and Research Centre Pvt. Ltd., Bangalore, Karnataka, India",06 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.068521,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,52,2.0,Bangalore,Karnataka,"Bangalore, Karnataka, India",,,Unknown
53,PEH-2016-0208,"Medwin Hospital & Research Centre, Varanasi, Uttar Pradesh, India",09 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.072452,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,53,2.0,Varanasi,Uttar Pradesh,"Varanasi, Uttar Pradesh, India",,,Unknown
54,PEH-2016-0211,"The Radiant Institute/ Radiant Global Solution, Mysore, Karnataka, India",12 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.072452,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,54,2.0,Mysore,Karnataka,"Mysore, Karnataka, India",,,Unknown
55,PEH-2016-0212,"Vaatsalya life, Kalaburgi, Karnataka, India",13 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.073058,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,55,2.0,Kalaburgi,Karnataka,"Kalaburgi, Karnataka, India",,,Unknown
56,PEH-2016-0215,"Akash Hospital and Diagnostic Centre, Indore, Madhya Pradesh, India",17 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.073058,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,56,2.0,Indore,Madhya Pradesh,"Indore, Madhya Pradesh, India",,,Unknown
57,PEH-2016-0217,"The Voluntary Health Services, Chennai, Tamil Nadu, India",21 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.073058,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,57,2.0,Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",,,Unknown
58,PEH-2016-0221,"Taluk General Hospital, Mysore, Karnataka, India",25 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.073058,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,58,2.0,Mysore,Karnataka,"Mysore, Karnataka, India",,,Unknown
59,PEH-2016-0222,"Annai Hospital, Kanyakumari, Tamil Nadu, India",25 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.073058,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,59,2.0,Kanyakumari,Tamil Nadu,"Kanyakumari, Tamil Nadu, India",,,Unknown
60,PEH-2016-0224,"Pankaj E.N.T. Clinic Pvt Ltd (Hospital), Lucknow, Uttar Pradesh, India",25 Feb 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.073058,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,60,2.0,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India",,,Unknown
61,PEH-2016-0235,"K.S.Hospital, Dharmapuri, Tamil Nadu, India",03 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,61,2.0,Dharmapuri,Tamil Nadu,"Dharmapuri, Tamil Nadu, India",,,Unknown
62,PEH-2016-0239,"Sankara Eye Hospital, Kanchipuram, Tamil Nadu, India",11 Mar 2016,Assessment in process,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,62,2.0,Kanchipuram,Tamil Nadu,"Kanchipuram, Tamil Nadu, India",,,Unknown
63,PEH-2016-0240,"Sudha Hospital & Medical Research Center Pvt. Ltd., Kota, Rajasthan, India",12 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,63,2.0,Kota,Rajasthan,"Kota, Rajasthan, India",,,Unknown
64,PEH-2016-0248,"Platina Heart Hospital (A Unit Of Platina Hospital Pvt Ltd.), Nagpur, Maharashtra, India",15 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,64,2.0,Nagpur,Maharashtra,"Nagpur, Maharashtra, India",,,Unknown
65,PEH-2016-0249,"Prime Hospitals, Hyderabad, Telangana, India",15 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,65,2.0,Hyderabad,Telangana,"Hyderabad, Telangana, India",,,Unknown
66,PEH-2016-0251,"Holy Cross Hospital, Jashpur, Chattisgarh, India",16 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,66,2.0,Jashpur,Chattisgarh,"Jashpur, Chattisgarh, India",,,Unknown
67,PEH-2016-0252,"District Wenlock Hospital, Mangalore, Karnataka, India",16 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,67,2.0,Mangalore,Karnataka,"Mangalore, Karnataka, India",,,Unknown
68,PEH-2016-0255,"Columbia Hospital & Research Centre , Nagpur, Maharashtra, India",21 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,68,2.0,Nagpur,Maharashtra,"Nagpur, Maharashtra, India",,,Unknown
69,PEH-2016-0260,"Warana Institute of Uro-Surgery, Kolhapur, Maharashtra, India",24 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,69,2.0,Kolhapur,Maharashtra,"Kolhapur, Maharashtra, India",,,Unknown
70,PEH-2016-0261,"Balaji Fracture & General Hospital, Bhopal, Madhya Pradesh, India",25 Mar 2016,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.075083,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,70,2.0,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh, India",,,Unknown
